dataset,method,model,split,run,task_id,payload,payload_len,stream_key,source,view,view_label,packet_count,dedup_packet_count,conflicts,accepted_steps,len_mismatch_steps,decode_exception_steps,recovered_payload,decode_ok,failure_reason
alfworld,agentmark,deepseek,ID,1,003,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,15,15,0,7,9,0,00001000,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,003,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_003/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,7,7,0,4,12,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,004,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,agentmark,AgentMark-F exact probabilities,25,25,0,11,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,004,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,12,12,0,5,6,0,10010110,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,004,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_004/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,11,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,005,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,agentmark,AgentMark-F exact probabilities,26,26,0,12,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,005,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,7,7,0,2,10,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,005,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_005/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,7,7,0,4,8,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,006,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,agentmark,AgentMark-F exact probabilities,12,12,0,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,006,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,9,9,0,4,1,0,,False,rank_deficient
alfworld,agentmark,deepseek,ID,1,006,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_006/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,5,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,007,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,agentmark,AgentMark-F exact probabilities,20,20,0,8,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,007,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,14,14,0,5,3,0,00101100,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,007,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_007/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,4,4,0,2,6,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,008,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_008/evaluation_report.json,agentmark,AgentMark-F exact probabilities,0,0,0,0,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,008,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_008/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,0,0,0,0,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,008,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_008/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,009,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,agentmark,AgentMark-F exact probabilities,6,6,0,4,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,009,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,0,0,0,0,4,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,009,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_009/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,2,2,0,2,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,010,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,agentmark,AgentMark-F exact probabilities,15,15,0,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,010,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,4,4,0,2,4,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,010,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,2,2,0,2,4,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,011,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,agentmark,AgentMark-F exact probabilities,12,12,0,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,011,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,4,4,0,1,4,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,011,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,5,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,012,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,agentmark,AgentMark-F exact probabilities,17,17,0,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,012,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,7,7,0,3,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,012,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,1,1,0,1,5,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,013,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,agentmark,AgentMark-F exact probabilities,7,7,0,5,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,013,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,4,4,0,2,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,013,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,3,3,0,3,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,014,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,agentmark,AgentMark-F exact probabilities,16,16,0,7,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,014,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,3,3,0,1,6,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,014,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,2,2,0,2,5,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,015,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,agentmark,AgentMark-F exact probabilities,3,3,0,2,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,015,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,2,2,0,1,1,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,015,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,016,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_016/evaluation_report.json,agentmark,AgentMark-F exact probabilities,4,4,0,1,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,016,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_016/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,0,0,0,0,1,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,016,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_016/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,1,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,017,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,agentmark,AgentMark-F exact probabilities,24,24,0,10,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,017,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,15,15,0,5,5,0,11011011,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,017,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,4,4,0,2,8,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,018,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,agentmark,AgentMark-F exact probabilities,10,10,0,6,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,018,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,7,7,0,3,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,018,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,3,3,0,3,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,019,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,agentmark,AgentMark-F exact probabilities,4,4,0,2,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,019,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,2,2,0,1,1,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,019,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,020,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,agentmark,AgentMark-F exact probabilities,18,18,0,7,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,020,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,6,6,0,2,5,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,020,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,1,1,0,1,6,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,021,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,agentmark,AgentMark-F exact probabilities,20,20,0,7,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,021,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,3,3,0,1,6,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,021,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,1,1,0,1,6,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,022,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,agentmark,AgentMark-F exact probabilities,7,7,0,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,022,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,3,3,0,1,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,022,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,023,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,agentmark,AgentMark-F exact probabilities,50,50,0,20,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,023,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,30,30,0,12,8,0,11101110,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,023,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,6,6,0,5,15,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,024,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_024/evaluation_report.json,agentmark,AgentMark-F exact probabilities,9,9,0,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,024,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_024/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,5,5,0,2,3,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,024,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_024/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,4,4,0,3,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,025,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_025/evaluation_report.json,agentmark,AgentMark-F exact probabilities,4,4,0,3,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,025,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_025/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,2,2,0,1,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,025,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_025/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,1,1,0,1,2,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,026,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_026/evaluation_report.json,agentmark,AgentMark-F exact probabilities,1,1,0,1,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,026,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_026/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,0,0,0,0,1,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,026,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_026/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,1,1,0,1,0,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,027,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_027/evaluation_report.json,agentmark,AgentMark-F exact probabilities,23,23,0,10,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,027,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_027/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,12,12,0,4,6,0,11101101,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,027,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_027/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,0,0,0,0,10,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,028,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_028/evaluation_report.json,agentmark,AgentMark-F exact probabilities,22,22,0,12,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,028,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_028/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,8,8,0,4,8,0,01010010,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,028,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_028/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,4,4,0,3,9,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,029,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_029/evaluation_report.json,agentmark,AgentMark-F exact probabilities,45,45,0,17,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,029,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_029/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,24,24,0,9,8,0,11100011,False,payload_mismatch
alfworld,agentmark,deepseek,ID,1,029,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_029/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,7,7,0,3,14,0,,False,insufficient_packets
alfworld,agentmark,deepseek,ID,1,030,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_030/evaluation_report.json,agentmark,AgentMark-F exact probabilities,13,13,0,5,0,0,11001101,True,
alfworld,agentmark,deepseek,ID,1,030,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_030/evaluation_report.json,agentmark_rank_only,AgentMark-F rank-only linear top-10 surrogate,8,8,0,3,2,0,,False,rank_deficient
alfworld,agentmark,deepseek,ID,1,030,11001101,8,2025,/Users/local/AgentMarkBeta/实验数据/remote_data/extracted/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_030/evaluation_report.json,rank,AsymAgentMark-TK top-10 rank,2,2,0,1,4,0,,False,insufficient_packets
