trial,selected,consumed_bits,decoded_bits,expected_bits,decode_ok,keyed_order
67,a6,1,0,0,True,a5 a2 a3 a1 a6 a0 a4 a7
68,a3,3,110,110,True,a1 a4 a0 a6 a2 a5 a7 a3
69,a4,1,1,1,True,a1 a0 a5 a6 a4 a3 a7 a2
70,a0,1,1,1,True,a2 a5 a4 a7 a0 a1 a3 a6
71,a2,0,,,True,a2 a6 a1 a0 a5 a3 a4 a7
72,a7,2,10,10,True,a5 a0 a2 a7 a6 a3 a1 a4
73,a4,0,,,True,a4 a2 a6 a3 a5 a1 a7 a0
74,a3,2,01,01,True,a2 a6 a0 a3 a4 a7 a5 a1
75,a2,1,1,1,True,a3 a2 a1 a4 a0 a6 a5 a7
76,a6,0,,,True,a6 a7 a3 a4 a2 a1 a5 a0
77,a6,0,,,True,a6 a0 a4 a1 a7 a3 a2 a5
78,a7,1,0,0,True,a0 a1 a3 a6 a7 a4 a2 a5
79,a6,2,11,11,True,a0 a3 a4 a6 a1 a2 a5 a7
80,a6,2,10,10,True,a5 a1 a0 a2 a4 a3 a6 a7
81,a5,2,01,01,True,a1 a2 a0 a3 a6 a5 a7 a4
82,a5,2,10,10,True,a0 a3 a7 a1 a4 a6 a5 a2
83,a7,1,1,1,True,a1 a7 a2 a3 a0 a4 a5 a6
84,a0,1,1,1,True,a4 a1 a0 a2 a7 a3 a5 a6
85,a0,1,1,1,True,a6 a7 a3 a1 a0 a2 a4 a5
86,a4,1,0,0,True,a2 a5 a1 a7 a4 a3 a6 a0
87,a6,3,011,011,True,a7 a1 a3 a5 a2 a0 a4 a6
88,a3,1,0,0,True,a7 a6 a3 a4 a5 a0 a2 a1
89,a3,2,11,11,True,a0 a6 a1 a5 a4 a3 a7 a2
90,a1,0,,,True,a1 a0 a5 a2 a6 a4 a3 a7
91,a1,1,1,1,True,a2 a1 a3 a5 a4 a0 a6 a7
92,a3,2,00,00,True,a0 a2 a6 a3 a4 a5 a1 a7
93,a2,2,11,11,True,a7 a5 a1 a2 a3 a0 a6 a4
94,a6,1,0,0,True,a5 a6 a2 a7 a4 a0 a1 a3
95,a0,2,11,11,True,a1 a4 a2 a0 a5 a3 a7 a6
96,a4,2,10,10,True,a2 a7 a5 a3 a0 a4 a1 a6
97,a5,1,0,0,True,a4 a0 a2 a3 a5 a6 a7 a1
98,a7,3,110,110,True,a0 a3 a6 a5 a2 a1 a4 a7
99,a7,1,1,1,True,a4 a5 a2 a1 a7 a6 a0 a3
100,a7,2,11,11,True,a3 a5 a6 a7 a4 a0 a1 a2
101,a4,1,0,0,True,a0 a4 a7 a3 a2 a5 a6 a1
102,a6,2,01,01,True,a2 a1 a5 a0 a4 a6 a3 a7
103,a2,0,,,True,a2 a6 a7 a0 a1 a5 a3 a4
104,a1,0,,,True,a1 a3 a6 a0 a7 a2 a4 a5
105,a2,0,,,True,a2 a6 a5 a4 a0 a7 a1 a3
106,a0,1,1,1,True,a1 a3 a6 a5 a0 a4 a7 a2
107,a7,3,011,011,True,a1 a6 a3 a2 a4 a5 a0 a7
108,a3,0,,,True,a3 a1 a2 a7 a0 a5 a6 a4
109,a5,2,10,10,True,a7 a0 a6 a1 a2 a5 a3 a4
110,a2,2,01,01,True,a7 a0 a6 a3 a4 a1 a2 a5
111,a2,3,101,101,True,a5 a7 a6 a0 a4 a3 a1 a2
112,a3,2,11,11,True,a1 a7 a6 a3 a5 a2 a0 a4
113,a2,0,,,True,a2 a5 a3 a7 a0 a4 a6 a1
114,a5,1,0,0,True,a3 a5 a6 a0 a4 a1 a2 a7
115,a6,0,,,True,a6 a3 a7 a1 a4 a2 a0 a5
116,a1,1,0,0,True,a2 a6 a7 a4 a1 a0 a5 a3
117,a3,3,110,110,True,a4 a0 a2 a1 a7 a6 a5 a3
118,a4,2,11,11,True,a3 a1 a0 a7 a6 a2 a4 a5
119,a7,1,1,1,True,a1 a4 a7 a3 a2 a5 a0 a6
120,a1,0,,,True,a1 a2 a4 a3 a6 a0 a5 a7
121,a3,0,,,True,a3 a4 a6 a0 a5 a7 a1 a2
122,a6,0,,,True,a6 a3 a4 a7 a2 a0 a1 a5
123,a6,2,00,00,True,a1 a5 a2 a7 a0 a6 a3 a4
124,a5,3,110,110,True,a3 a6 a4 a0 a1 a7 a2 a5
125,a0,2,11,11,True,a1 a5 a3 a0 a4 a7 a6 a2
126,a5,2,10,10,True,a0 a4 a1 a6 a2 a3 a5 a7
127,a4,1,0,0,True,a6 a5 a2 a1 a4 a7 a3 a0
128,a1,0,,,True,a1 a7 a3 a4 a2 a5 a0 a6
129,a4,2,11,11,True,a7 a2 a1 a6 a3 a5 a4 a0
130,a7,0,,,True,a7 a0 a6 a3 a5 a2 a4 a1
131,a6,2,01,01,True,a5 a1 a2 a0 a4 a6 a7 a3
132,a2,1,1,1,True,a5 a6 a3 a0 a2 a4 a1 a7
133,a0,1,1,1,True,a4 a1 a0 a5 a3 a7 a6 a2
134,a5,1,0,0,True,a1 a5 a6 a2 a0 a4 a7 a3
135,a7,2,01,01,True,a6 a0 a1 a7 a2 a3 a5 a4
136,a5,2,10,10,True,a2 a3 a6 a1 a7 a5 a4 a0
137,a6,1,1,1,True,a3 a4 a6 a5 a2 a1 a0 a7
138,a6,3,110,110,True,a7 a2 a1 a3 a5 a4 a0 a6
139,a7,2,01,01,True,a0 a4 a5 a2 a1 a3 a7 a6
140,a6,0,,,True,a6 a0 a2 a3 a4 a7 a1 a5
141,a6,2,10,10,True,a3 a7 a4 a0 a2 a5 a6 a1
142,a7,2,11,11,True,a1 a6 a5 a4 a0 a7 a3 a2
143,a1,2,10,10,True,a2 a7 a0 a3 a4 a1 a5 a6
144,a1,2,01,01,True,a0 a2 a6 a7 a3 a1 a4 a5
145,a4,1,1,1,True,a1 a0 a4 a3 a5 a6 a2 a7
146,a6,3,011,011,True,a0 a7 a1 a3 a5 a4 a2 a6
147,a2,3,100,100,True,a7 a5 a4 a6 a3 a0 a1 a2
148,a4,1,1,1,True,a5 a4 a1 a3 a6 a2 a7 a0
149,a2,1,1,1,True,a7 a0 a4 a5 a2 a6 a1 a3
150,a1,1,0,0,True,a3 a7 a1 a5 a6 a2 a0 a4
151,a6,2,11,11,True,a4 a5 a3 a6 a1 a0 a7 a2
152,a7,3,100,100,True,a4 a2 a5 a1 a6 a3 a0 a7
153,a2,1,1,1,True,a3 a2 a6 a4 a0 a1 a7 a5
154,a1,0,,,True,a1 a4 a3 a0 a7 a2 a6 a5
155,a0,0,,,True,a0 a3 a2 a1 a7 a6 a5 a4
156,a6,3,101,101,True,a0 a5 a3 a2 a1 a7 a4 a6
157,a5,0,,,True,a5 a3 a2 a4 a0 a7 a6 a1
158,a1,2,11,11,True,a2 a4 a3 a5 a7 a1 a6 a0
159,a2,2,00,00,True,a6 a1 a3 a4 a0 a2 a7 a5
160,a5,2,11,11,True,a3 a4 a6 a5 a2 a7 a0 a1
161,a2,2,01,01,True,a3 a6 a4 a2 a1 a5 a7 a0
162,a5,1,1,1,True,a7 a2 a1 a6 a5 a3 a0 a4
163,a0,1,1,1,True,a7 a1 a0 a4 a5 a6 a3 a2
164,a6,3,001,001,True,a5 a3 a7 a1 a4 a2 a0 a6
165,a4,1,1,1,True,a6 a4 a0 a7 a2 a3 a5 a1
166,a2,1,0,0,True,a0 a4 a6 a5 a2 a3 a7 a1
167,a7,1,1,1,True,a4 a6 a2 a1 a7 a3 a0 a5
168,a4,2,11,11,True,a2 a0 a7 a4 a3 a6 a1 a5
169,a0,2,00,00,True,a4 a5 a2 a1 a7 a0 a6 a3
170,a0,3,110,110,True,a2 a4 a1 a6 a3 a7 a5 a0
171,a1,2,11,11,True,a4 a3 a7 a2 a0 a1 a5 a6
172,a3,2,10,10,True,a2 a1 a7 a3 a5 a4 a0 a6
173,a1,2,01,01,True,a5 a3 a0 a1 a4 a2 a7 a6
174,a2,1,1,1,True,a5 a3 a2 a7 a1 a6 a4 a0
175,a6,2,01,01,True,a7 a0 a4 a2 a5 a6 a1 a3
176,a2,2,11,11,True,a4 a6 a7 a5 a3 a2 a0 a1
177,a2,0,,,True,a2 a7 a1 a5 a0 a4 a3 a6
178,a5,2,00,00,True,a7 a6 a3 a1 a0 a4 a5 a2
179,a1,1,1,1,True,a2 a0 a3 a4 a1 a5 a6 a7
180,a3,1,1,1,True,a0 a1 a2 a6 a3 a5 a4 a7
181,a0,2,01,01,True,a7 a1 a6 a3 a2 a0 a5 a4
182,a1,1,1,1,True,a7 a1 a0 a6 a5 a4 a3 a2
183,a4,1,1,1,True,a1 a4 a5 a0 a2 a3 a7 a6
184,a2,3,001,001,True,a7 a5 a1 a6 a3 a0 a4 a2
185,a1,1,1,1,True,a4 a7 a6 a5 a1 a2 a0 a3
186,a5,1,0,0,True,a6 a7 a5 a4 a1 a2 a3 a0
187,a5,3,111,111,True,a4 a1 a7 a0 a2 a3 a6 a5
188,a2,2,00,00,True,a4 a7 a3 a5 a0 a1 a2 a6
189,a2,2,11,11,True,a7 a0 a1 a2 a5 a4 a3 a6
190,a4,2,01,01,True,a1 a3 a0 a4 a5 a2 a6 a7
191,a4,1,1,1,True,a1 a5 a4 a6 a3 a0 a2 a7
192,a0,0,,,True,a0 a7 a4 a2 a3 a6 a5 a1
193,a7,2,10,10,True,a6 a2 a5 a7 a1 a4 a0 a3
194,a2,1,0,0,True,a5 a2 a3 a6 a0 a7 a4 a1
195,a2,1,1,1,True,a3 a2 a5 a4 a6 a1 a7 a0
196,a1,0,,,True,a1 a4 a6 a7 a3 a0 a2 a5
197,a6,0,,,True,a6 a2 a4 a0 a5 a3 a1 a7
198,a0,2,10,10,True,a3 a4 a2 a6 a5 a1 a0 a7
199,a0,2,11,11,True,a4 a5 a6 a3 a7 a0 a2 a1
200,a6,1,1,1,True,a2 a4 a7 a0 a6 a5 a1 a3
201,a5,0,,,True,a5 a6 a4 a2 a0 a1 a3 a7
202,a0,0,,,True,a0 a3 a1 a5 a4 a6 a7 a2
203,a6,0,,,True,a6 a2 a7 a0 a1 a3 a5 a4
204,a0,1,0,0,True,a7 a6 a3 a4 a0 a2 a5 a1
205,a7,1,0,0,True,a4 a6 a1 a0 a7 a3 a2 a5
206,a6,1,1,1,True,a1 a7 a0 a4 a6 a2 a5 a3
207,a7,2,10,10,True,a2 a3 a1 a0 a4 a5 a7 a6
208,a2,0,,,True,a2 a4 a1 a5 a6 a3 a7 a0
209,a7,1,1,1,True,a2 a1 a3 a0 a7 a5 a6 a4
210,a7,3,110,110,True,a0 a1 a3 a6 a5 a2 a4 a7
211,a5,0,,,True,a5 a0 a7 a3 a4 a1 a6 a2
212,a5,2,01,01,True,a0 a4 a7 a1 a3 a5 a6 a2
213,a5,1,1,1,True,a7 a5 a3 a6 a2 a4 a1 a0
214,a7,2,01,01,True,a0 a3 a1 a4 a5 a6 a7 a2
215,a1,2,11,11,True,a7 a6 a3 a5 a2 a1 a0 a4
216,a5,2,00,00,True,a6 a3 a0 a1 a7 a5 a2 a4
217,a5,3,110,110,True,a2 a0 a1 a7 a6 a4 a3 a5
218,a2,2,11,11,True,a6 a1 a3 a4 a5 a7 a2 a0
219,a7,3,100,100,True,a5 a1 a2 a6 a3 a4 a0 a7
220,a4,0,,,True,a4 a5 a7 a1 a6 a2 a0 a3
221,a2,1,1,1,True,a1 a3 a6 a5 a2 a4 a7 a0
222,a3,2,10,10,True,a7 a1 a4 a6 a5 a3 a0 a2
223,a0,3,111,111,True,a4 a6 a7 a5 a3 a1 a2 a0
224,a4,3,001,001,True,a7 a2 a5 a6 a3 a0 a1 a4
225,a1,0,,,True,a1 a4 a2 a3 a6 a0 a5 a7
226,a2,1,1,1,True,a1 a0 a5 a3 a2 a6 a4 a7
227,a1,2,01,01,True,a4 a0 a6 a5 a7 a1 a2 a3
228,a5,3,110,110,True,a4 a7 a0 a1 a2 a6 a3 a5
229,a6,3,011,011,True,a2 a3 a7 a1 a0 a5 a4 a6
230,a5,1,0,0,True,a0 a5 a7 a3 a4 a1 a2 a6
231,a4,1,1,1,True,a5 a3 a2 a7 a4 a0 a6 a1
232,a1,2,11,11,True,a7 a0 a4 a1 a3 a5 a2 a6
233,a6,2,00,00,True,a0 a1 a5 a7 a2 a6 a4 a3
234,a7,2,11,11,True,a4 a3 a2 a1 a5 a6 a7 a0
235,a3,2,01,01,True,a5 a2 a7 a0 a1 a3 a4 a6
236,a7,2,11,11,True,a1 a2 a6 a4 a3 a7 a5 a0
237,a5,1,0,0,True,a1 a0 a3 a6 a5 a4 a7 a2
238,a4,2,01,01,True,a1 a7 a3 a4 a5 a0 a2 a6
239,a5,1,1,1,True,a1 a2 a5 a3 a6 a7 a0 a4
240,a5,2,01,01,True,a4 a3 a0 a7 a2 a5 a6 a1
241,a2,3,110,110,True,a7 a1 a4 a5 a0 a6 a3 a2
242,a7,0,,,True,a7 a1 a3 a0 a2 a6 a4 a5
243,a5,1,0,0,True,a6 a2 a5 a4 a3 a0 a7 a1
244,a4,3,110,110,True,a0 a3 a2 a7 a1 a5 a6 a4
245,a1,1,1,1,True,a7 a2 a1 a4 a0 a6 a3 a5
246,a0,3,110,110,True,a5 a6 a1 a2 a4 a7 a3 a0
247,a4,2,01,01,True,a3 a7 a0 a1 a6 a2 a4 a5
248,a1,2,10,10,True,a5 a6 a3 a4 a0 a2 a1 a7
249,a5,1,1,1,True,a4 a5 a1 a7 a0 a6 a3 a2
250,a6,1,1,1,True,a0 a6 a5 a1 a3 a7 a4 a2
251,a6,1,1,1,True,a5 a6 a7 a3 a4 a0 a2 a1
252,a5,1,0,0,True,a6 a1 a5 a0 a7 a3 a4 a2
253,a2,3,011,011,True,a4 a7 a1 a6 a0 a3 a5 a2
254,a0,1,0,0,True,a5 a0 a3 a4 a7 a2 a6 a1
255,a3,2,11,11,True,a0 a1 a2 a5 a6 a4 a3 a7
256,a1,3,100,100,True,a7 a0 a5 a6 a2 a4 a3 a1
257,a4,2,11,11,True,a1 a5 a7 a2 a3 a4 a6 a0
258,a0,2,01,01,True,a7 a1 a4 a5 a2 a0 a3 a6
259,a6,2,11,11,True,a0 a3 a4 a6 a5 a1 a7 a2
260,a5,2,00,00,True,a7 a4 a6 a2 a1 a0 a5 a3
261,a3,2,11,11,True,a2 a4 a0 a3 a7 a1 a5 a6
262,a7,1,0,0,True,a3 a7 a0 a5 a6 a2 a4 a1
263,a2,1,1,1,True,a7 a6 a4 a1 a2 a3 a5 a0
264,a3,0,,,True,a3 a2 a1 a7 a4 a6 a0 a5
265,a7,2,11,11,True,a0 a2 a6 a7 a5 a1 a4 a3
266,a2,0,,,True,a2 a7 a3 a6 a0 a4 a5 a1
267,a1,2,00,00,True,a0 a7 a4 a5 a2 a6 a1 a3
268,a5,1,1,1,True,a7 a5 a3 a1 a2 a4 a6 a0
269,a6,1,1,1,True,a4 a0 a6 a3 a5 a2 a7 a1
270,a3,2,01,01,True,a1 a6 a5 a4 a7 a0 a3 a2
271,a1,1,1,1,True,a3 a0 a7 a6 a1 a5 a2 a4
272,a3,3,100,100,True,a2 a6 a5 a0 a7 a1 a4 a3
273,a7,3,110,110,True,a6 a1 a5 a0 a3 a4 a2 a7
274,a4,1,1,1,True,a7 a1 a4 a2 a3 a6 a5 a0
275,a3,2,11,11,True,a7 a1 a6 a3 a4 a5 a0 a2
276,a6,0,,,True,a6 a4 a3 a7 a1 a5 a0 a2
277,a0,2,00,00,True,a7 a4 a3 a1 a5 a0 a6 a2
278,a4,1,1,1,True,a0 a3 a6 a2 a4 a5 a1 a7
279,a2,1,1,1,True,a0 a2 a7 a6 a4 a1 a3 a5
280,a7,1,0,0,True,a1 a4 a7 a0 a6 a3 a2 a5
281,a4,2,11,11,True,a5 a2 a6 a0 a1 a4 a3 a7
282,a2,1,1,1,True,a5 a2 a3 a4 a7 a6 a1 a0
283,a2,2,00,00,True,a4 a6 a1 a7 a5 a0 a2 a3
284,a0,3,110,110,True,a2 a7 a1 a6 a3 a4 a5 a0
285,a4,0,,,True,a4 a7 a1 a6 a0 a2 a5 a3
286,a2,2,11,11,True,a1 a7 a5 a6 a3 a0 a2 a4
287,a5,2,10,10,True,a7 a3 a4 a2 a0 a1 a5 a6
288,a3,3,011,011,True,a6 a4 a0 a2 a1 a7 a5 a3
289,a0,1,0,0,True,a2 a5 a0 a3 a1 a6 a4 a7
290,a1,1,1,1,True,a3 a6 a1 a7 a0 a4 a5 a2
291,a6,1,1,1,True,a4 a2 a6 a0 a1 a5 a3 a7
292,a5,3,100,100,True,a1 a0 a2 a3 a6 a4 a7 a5
293,a7,0,,,True,a7 a4 a3 a2 a6 a1 a5 a0
294,a4,2,11,11,True,a6 a2 a7 a0 a3 a4 a1 a5
295,a1,1,0,0,True,a2 a5 a0 a4 a1 a7 a3 a6
296,a1,3,111,111,True,a3 a4 a2 a0 a7 a5 a6 a1
297,a0,1,0,0,True,a1 a0 a5 a4 a3 a2 a6 a7
298,a0,2,01,01,True,a6 a4 a7 a0 a5 a3 a1 a2
299,a3,1,1,1,True,a2 a4 a5 a0 a3 a7 a1 a6
300,a0,3,011,011,True,a6 a3 a7 a1 a4 a5 a2 a0
301,a1,1,1,1,True,a5 a7 a1 a2 a3 a4 a6 a0
302,a3,0,,,True,a3 a5 a1 a0 a2 a4 a7 a6
303,a3,2,00,00,True,a1 a4 a6 a0 a5 a7 a3 a2
304,a3,3,110,110,True,a6 a1 a4 a5 a2 a0 a7 a3
305,a7,1,1,1,True,a0 a7 a3 a4 a5 a2 a1 a6
306,a7,1,1,1,True,a5 a7 a3 a4 a1 a6 a2 a0
307,a6,2,10,10,True,a7 a5 a2 a3 a4 a1 a6 a0
308,a6,1,0,0,True,a3 a4 a5 a1 a6 a2 a0 a7
309,a7,1,1,1,True,a2 a6 a7 a1 a0 a5 a4 a3
310,a6,1,1,1,True,a0 a1 a6 a2 a5 a4 a7 a3
311,a4,1,0,0,True,a7 a6 a4 a0 a2 a3 a5 a1
312,a6,3,111,111,True,a0 a4 a3 a7 a5 a1 a2 a6
313,a5,1,0,0,True,a7 a5 a2 a1 a3 a4 a0 a6
314,a1,3,011,011,True,a2 a4 a3 a7 a0 a5 a6 a1
315,a6,1,0,0,True,a4 a3 a6 a1 a2 a5 a7 a0
316,a3,2,11,11,True,a5 a4 a6 a3 a1 a2 a7 a0
317,a3,0,,,True,a3 a7 a5 a6 a4 a0 a2 a1
318,a2,3,100,100,True,a1 a0 a5 a7 a4 a3 a6 a2
319,a7,2,11,11,True,a3 a5 a6 a7 a4 a1 a0 a2
320,a6,1,0,0,True,a7 a0 a6 a2 a4 a1 a3 a5
321,a0,1,1,1,True,a7 a0 a6 a2 a1 a3 a4 a5
322,a3,2,11,11,True,a2 a6 a5 a3 a7 a0 a4 a1
323,a0,2,00,00,True,a4 a3 a6 a0 a5 a2 a1 a7
324,a6,2,11,11,True,a5 a0 a4 a2 a7 a6 a3 a1
325,a0,2,01,01,True,a7 a2 a5 a0 a1 a4 a6 a3
326,a4,1,1,1,True,a0 a5 a7 a2 a4 a3 a6 a1
327,a3,2,11,11,True,a0 a2 a5 a3 a1 a6 a7 a4
328,a7,1,0,0,True,a0 a2 a7 a5 a3 a6 a1 a4
329,a3,3,011,011,True,a5 a1 a6 a0 a4 a7 a2 a3
330,a1,1,0,0,True,a7 a1 a4 a6 a5 a2 a3 a0
331,a5,2,11,11,True,a4 a7 a1 a5 a0 a2 a6 a3
332,a3,1,1,1,True,a5 a3 a2 a1 a4 a6 a7 a0
333,a3,2,00,00,True,a1 a2 a0 a6 a4 a7 a3 a5
334,a2,0,,,True,a2 a3 a7 a6 a4 a5 a1 a0
335,a1,2,11,11,True,a0 a7 a4 a6 a3 a1 a5 a2
336,a1,2,01,01,True,a3 a7 a4 a2 a5 a6 a1 a0
337,a0,1,1,1,True,a1 a0 a7 a6 a3 a4 a2 a5
338,a7,1,1,1,True,a1 a7 a0 a3 a5 a2 a4 a6
339,a6,2,00,00,True,a5 a4 a0 a7 a1 a6 a3 a2
340,a4,1,1,1,True,a7 a0 a4 a3 a2 a5 a1 a6
341,a0,1,1,1,True,a2 a6 a3 a4 a0 a5 a7 a1
342,a1,3,011,011,True,a4 a5 a2 a0 a3 a6 a7 a1
343,a6,1,1,1,True,a0 a6 a2 a3 a1 a7 a5 a4
344,a3,2,00,00,True,a1 a7 a6 a5 a4 a3 a2 a0
345,a0,0,,,True,a0 a6 a7 a1 a2 a3 a5 a4
346,a0,1,1,1,True,a3 a0 a2 a1 a6 a5 a4 a7
347,a1,2,10,10,True,a6 a5 a7 a0 a3 a2 a1 a4
348,a6,2,11,11,True,a2 a0 a4 a1 a5 a3 a6 a7
349,a1,2,10,10,True,a4 a7 a3 a5 a0 a2 a1 a6
350,a0,3,011,011,True,a1 a5 a3 a7 a4 a6 a2 a0
351,a3,2,01,01,True,a7 a0 a4 a6 a2 a3 a5 a1
352,a4,0,,,True,a4 a5 a6 a7 a2 a3 a0 a1
353,a0,3,110,110,True,a4 a2 a5 a6 a7 a3 a1 a0
354,a5,3,011,011,True,a4 a0 a2 a1 a6 a3 a7 a5
355,a0,3,011,011,True,a4 a3 a2 a6 a5 a7 a1 a0
356,a4,1,1,1,True,a2 a3 a0 a5 a4 a6 a7 a1
357,a3,1,0,0,True,a5 a3 a6 a0 a2 a7 a1 a4
358,a6,2,01,01,True,a7 a3 a4 a5 a2 a1 a6 a0
359,a0,3,101,101,True,a1 a4 a3 a7 a6 a5 a2 a0
360,a5,1,1,1,True,a7 a3 a0 a1 a5 a2 a6 a4
361,a7,1,1,1,True,a4 a5 a3 a0 a7 a6 a1 a2
362,a6,2,00,00,True,a5 a7 a4 a6 a0 a1 a2 a3
363,a1,3,110,110,True,a2 a0 a7 a3 a5 a6 a4 a1
364,a0,2,11,11,True,a2 a7 a6 a5 a3 a4 a0 a1
365,a3,3,100,100,True,a2 a4 a7 a6 a1 a5 a0 a3
366,a6,0,,,True,a6 a7 a0 a5 a4 a2 a3 a1
367,a1,2,11,11,True,a5 a0 a6 a3 a4 a1 a7 a2
368,a7,2,01,01,True,a6 a0 a2 a1 a4 a7 a3 a5
369,a2,2,11,11,True,a1 a3 a0 a2 a5 a4 a6 a7
370,a6,1,0,0,True,a3 a7 a6 a2 a1 a5 a0 a4
371,a2,2,01,01,True,a3 a5 a6 a4 a0 a7 a2 a1
372,a6,3,101,101,True,a3 a5 a4 a0 a2 a7 a1 a6
373,a7,2,11,11,True,a1 a3 a4 a0 a5 a7 a6 a2
374,a4,1,0,0,True,a0 a4 a5 a2 a3 a7 a6 a1
375,a6,2,01,01,True,a2 a5 a0 a3 a7 a4 a6 a1
376,a5,2,10,10,True,a4 a0 a6 a2 a3 a1 a5 a7
377,a6,1,1,1,True,a4 a6 a5 a7 a1 a2 a0 a3
