dataset,method,model,run,split,task_id,success,steps,source,path_in_output_0510,original_path
alfworld,agentmark,deepseek,1,ID,10,True,10.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_010/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_10/20260510_125719/reports/round_01/evaluation_report_20260510_125719.json
alfworld,agentmark,deepseek,1,ID,11,True,12.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_011/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_11/20260510_125720/reports/round_01/evaluation_report_20260510_125720.json
alfworld,agentmark,deepseek,1,ID,12,True,9.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_012/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_12/20260510_125722/reports/round_01/evaluation_report_20260510_125722.json
alfworld,agentmark,deepseek,1,ID,13,True,8.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_013/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_13/20260510_125726/reports/round_01/evaluation_report_20260510_125726.json
alfworld,agentmark,deepseek,1,ID,14,True,13.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_14/20260510_125727/reports/round_01/evaluation_report_20260510_125727.json
alfworld,agentmark,deepseek,1,ID,15,True,5.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_15/20260510_125730/reports/round_01/evaluation_report_20260510_125730.json
alfworld,agentmark,deepseek,1,ID,16,True,5.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_016/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_16/20260510_125736/reports/round_01/evaluation_report_20260510_125736.json
alfworld,agentmark,deepseek,1,ID,17,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_17/20260510_125738/reports/round_01/evaluation_report_20260510_125738.json
alfworld,agentmark,deepseek,1,ID,18,True,13.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_18/20260510_125740/reports/round_01/evaluation_report_20260510_125740.json
alfworld,agentmark,deepseek,1,ID,19,True,6.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_19/20260510_125741/reports/round_01/evaluation_report_20260510_125741.json
alfworld,agentmark,deepseek,1,ID,20,True,11.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_20/20260510_125749/reports/round_01/evaluation_report_20260510_125749.json
alfworld,agentmark,deepseek,1,ID,21,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_21/20260510_125749/reports/round_01/evaluation_report_20260510_125749.json
alfworld,agentmark,deepseek,1,ID,22,True,6.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_22/20260510_125755/reports/round_01/evaluation_report_20260510_125755.json
alfworld,agentmark,deepseek,1,ID,23,False,30.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_23/20260510_125759/reports/round_01/evaluation_report_20260510_125759.json
alfworld,agentmark,deepseek,1,ID,24,True,11.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_024/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_24/20260510_125801/reports/round_01/evaluation_report_20260510_125801.json
alfworld,agentmark,deepseek,1,ID,25,True,6.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_025/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_25/20260510_125801/reports/round_01/evaluation_report_20260510_125801.json
alfworld,agentmark,deepseek,1,ID,26,True,4.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_026/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_26/20260510_125805/reports/round_01/evaluation_report_20260510_125805.json
alfworld,agentmark,deepseek,1,ID,27,True,15.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_027/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_27/20260510_125805/reports/round_01/evaluation_report_20260510_125805.json
alfworld,agentmark,deepseek,1,ID,28,True,13.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_028/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_28/20260510_125806/reports/round_01/evaluation_report_20260510_125806.json
alfworld,agentmark,deepseek,1,ID,29,True,23.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_029/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_29/20260510_125811/reports/round_01/evaluation_report_20260510_125811.json
alfworld,agentmark,deepseek,1,ID,30,True,11.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_030/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_30/20260510_125811/reports/round_01/evaluation_report_20260510_125811.json
alfworld,agentmark,deepseek,1,ID,31,True,16.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_031/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_31/20260510_125814/reports/round_01/evaluation_report_20260510_125814.json
alfworld,agentmark,deepseek,1,ID,32,True,5.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_032/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_32/20260510_125816/reports/round_01/evaluation_report_20260510_125816.json
alfworld,agentmark,deepseek,1,ID,33,True,4.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_033/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_33/20260510_125816/reports/round_01/evaluation_report_20260510_125816.json
alfworld,agentmark,deepseek,1,ID,34,True,4.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_034/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_34/20260510_125817/reports/round_01/evaluation_report_20260510_125817.json
alfworld,agentmark,deepseek,1,ID,35,True,23.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_035/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_35/20260510_125817/reports/round_01/evaluation_report_20260510_125817.json
alfworld,agentmark,deepseek,1,ID,36,True,9.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_036/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_36/20260510_125818/reports/round_01/evaluation_report_20260510_125818.json
alfworld,agentmark,deepseek,1,ID,37,True,13.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_037/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_37/20260510_125818/reports/round_01/evaluation_report_20260510_125818.json
alfworld,agentmark,deepseek,1,ID,38,True,11.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_038/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_38/20260510_125822/reports/round_01/evaluation_report_20260510_125822.json
alfworld,agentmark,deepseek,1,ID,39,True,9.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_039/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_39/20260510_125822/reports/round_01/evaluation_report_20260510_125822.json
alfworld,agentmark,deepseek,1,ID,40,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_040/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_40/20260510_125823/reports/round_01/evaluation_report_20260510_125823.json
alfworld,agentmark,deepseek,1,ID,41,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_041/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_41/20260510_125825/reports/round_01/evaluation_report_20260510_125825.json
alfworld,agentmark,deepseek,1,ID,42,True,9.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_042/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_42/20260510_125825/reports/round_01/evaluation_report_20260510_125825.json
alfworld,agentmark,deepseek,1,ID,43,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_043/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_43/20260510_125827/reports/round_01/evaluation_report_20260510_125827.json
alfworld,agentmark,deepseek,1,ID,44,True,8.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_044/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_44/20260510_125828/reports/round_01/evaluation_report_20260510_125828.json
alfworld,agentmark,deepseek,1,ID,45,True,4.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_045/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_45/20260510_125829/reports/round_01/evaluation_report_20260510_125829.json
alfworld,agentmark,deepseek,1,ID,46,True,30.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_046/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_46/20260510_125830/reports/round_01/evaluation_report_20260510_125830.json
alfworld,agentmark,deepseek,1,ID,47,True,16.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_047/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_47/20260510_125831/reports/round_01/evaluation_report_20260510_125831.json
alfworld,agentmark,deepseek,1,ID,48,True,9.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_048/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_48/20260510_125831/reports/round_01/evaluation_report_20260510_125831.json
alfworld,agentmark,deepseek,1,ID,49,True,10.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_049/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_49/20260510_125831/reports/round_01/evaluation_report_20260510_125831.json
alfworld,agentmark,deepseek,1,ID,50,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_050/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_50/20260510_125834/reports/round_01/evaluation_report_20260510_125834.json
alfworld,agentmark,deepseek,1,ID,51,True,10.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_051/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_51/20260510_125836/reports/round_01/evaluation_report_20260510_125836.json
alfworld,agentmark,deepseek,1,ID,52,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_052/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_52/20260510_125837/reports/round_01/evaluation_report_20260510_125837.json
alfworld,agentmark,deepseek,1,ID,53,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_053/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_53/20260510_125838/reports/round_01/evaluation_report_20260510_125838.json
alfworld,agentmark,deepseek,1,ID,54,True,22.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_054/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_54/20260510_125840/reports/round_01/evaluation_report_20260510_125840.json
alfworld,agentmark,deepseek,1,ID,55,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_055/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_55/20260510_125841/reports/round_01/evaluation_report_20260510_125841.json
alfworld,agentmark,deepseek,1,ID,56,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_056/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_56/20260510_125841/reports/round_01/evaluation_report_20260510_125841.json
alfworld,agentmark,deepseek,1,ID,57,True,6.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_057/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_57/20260510_125842/reports/round_01/evaluation_report_20260510_125842.json
alfworld,agentmark,deepseek,1,ID,58,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_058/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_58/20260510_125843/reports/round_01/evaluation_report_20260510_125843.json
alfworld,agentmark,deepseek,1,ID,59,True,9.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_059/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_59/20260510_125843/reports/round_01/evaluation_report_20260510_125843.json
alfworld,agentmark,deepseek,1,ID,60,True,25.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_060/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_60/20260510_125847/reports/round_01/evaluation_report_20260510_125847.json
alfworld,agentmark,deepseek,1,ID,61,True,8.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_061/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_61/20260510_125848/reports/round_01/evaluation_report_20260510_125848.json
alfworld,agentmark,deepseek,1,ID,62,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_062/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_62/20260510_125849/reports/round_01/evaluation_report_20260510_125849.json
alfworld,agentmark,deepseek,1,ID,63,True,15.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_063/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_63/20260510_125852/reports/round_01/evaluation_report_20260510_125852.json
alfworld,agentmark,deepseek,1,ID,64,True,13.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_064/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_64/20260510_125852/reports/round_01/evaluation_report_20260510_125852.json
alfworld,agentmark,deepseek,1,ID,65,True,16.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_065/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_65/20260510_125857/reports/round_01/evaluation_report_20260510_125857.json
alfworld,agentmark,deepseek,1,ID,66,True,17.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_066/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_66/20260510_125858/reports/round_01/evaluation_report_20260510_125858.json
alfworld,agentmark,deepseek,1,ID,67,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_067/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_67/20260510_125859/reports/round_01/evaluation_report_20260510_125859.json
alfworld,agentmark,deepseek,1,ID,68,False,30.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_068/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_68/20260510_125903/reports/round_01/evaluation_report_20260510_125903.json
alfworld,agentmark,deepseek,1,ID,69,True,12.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_069/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_69/20260510_125904/reports/round_01/evaluation_report_20260510_125904.json
alfworld,agentmark,deepseek,1,ID,70,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_070/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_70/20260510_125912/reports/round_01/evaluation_report_20260510_125912.json
alfworld,agentmark,deepseek,1,ID,71,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_071/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_71/20260510_125913/reports/round_01/evaluation_report_20260510_125913.json
alfworld,agentmark,deepseek,1,ID,72,True,14.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_072/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_72/20260510_125916/reports/round_01/evaluation_report_20260510_125916.json
alfworld,agentmark,deepseek,1,ID,73,True,7.0,supplement_0426_fix,/root/autodl-tmp/output-0510.clean_build/alfworld/agentmark/deepseek/run_1/ID/task_073/evaluation_report.json,/root/autodl-tmp/AgentMark3/AgentMark/output_supplement_0426_fix/alfworld/agentmark/deepseek/run_1/ID/task_73/20260510_125917/reports/round_01/evaluation_report_20260510_125917.json
