dataset,method,model,split,run,config,payload_len,alpha,N_min,attained,p_value_at_N_min
alfworld,agentmark,gemini-flash,ID,2,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,gemini-flash,ID,3,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,8,0.05,5,True,0.03125
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,8,0.01,10,True,0.0009765625
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,ID,1,full_rank,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,1,full_rank,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,1,full_rank,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,1,top10,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,1,top10,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,1,top10,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,1,top2,8,0.05,5,True,0.03125
alfworld,rank,deepseek,ID,1,top2,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,ID,1,top2,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,ID,1,top3,8,0.05,5,True,0.03125
alfworld,rank,deepseek,ID,1,top3,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,ID,1,top3,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,ID,1,top5,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,1,top5,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,1,top5,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,2,full_rank,8,0.05,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,full_rank,8,0.01,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,full_rank,8,0.001,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,top10,8,0.05,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,top10,8,0.01,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,top10,8,0.001,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,top2,8,0.05,5,True,0.03125
alfworld,rank,deepseek,ID,2,top2,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,ID,2,top2,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,ID,2,top3,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,2,top3,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,2,top3,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,2,top5,8,0.05,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,top5,8,0.01,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,2,top5,8,0.001,20,True,0.00020122528076171875
alfworld,rank,deepseek,ID,3,full_rank,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,3,full_rank,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,full_rank,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top10,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,3,top10,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top10,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top2,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,3,top2,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top2,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top3,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,3,top3,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top3,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top5,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,ID,3,top5,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,ID,3,top5,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,deepseek,OOD,1,full_rank,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,1,full_rank,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,full_rank,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top10,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,1,top10,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top10,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top2,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,1,top2,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top2,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top3,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,1,top3,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top3,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top5,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,1,top5,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,1,top5,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,full_rank,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,2,full_rank,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,full_rank,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top10,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,2,top10,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top10,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top2,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,2,top2,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top2,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top3,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,2,top3,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top3,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top5,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,2,top5,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,2,top5,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,3,full_rank,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,3,full_rank,8,0.01,20,True,0.00020122528076171875
alfworld,rank,deepseek,OOD,3,full_rank,8,0.001,20,True,0.00020122528076171875
alfworld,rank,deepseek,OOD,3,top10,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,3,top10,8,0.01,20,True,0.00020122528076171875
alfworld,rank,deepseek,OOD,3,top10,8,0.001,20,True,0.00020122528076171875
alfworld,rank,deepseek,OOD,3,top2,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,3,top2,8,0.01,10,True,0.0009765625
alfworld,rank,deepseek,OOD,3,top2,8,0.001,10,True,0.0009765625
alfworld,rank,deepseek,OOD,3,top3,8,0.05,10,True,0.0107421875
alfworld,rank,deepseek,OOD,3,top3,8,0.01,20,True,0.0012884140014648438
alfworld,rank,deepseek,OOD,3,top3,8,0.001,30,True,0.00016245711594820023
alfworld,rank,deepseek,OOD,3,top5,8,0.05,5,True,0.03125
alfworld,rank,deepseek,OOD,3,top5,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,deepseek,OOD,3,top5,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,ID,1,full_rank,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,1,full_rank,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,full_rank,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top10,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,1,top10,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top10,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top2,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,1,top2,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top2,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top3,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,1,top3,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top3,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top5,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,1,top5,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,1,top5,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,2,full_rank,8,0.05,10,True,0.0107421875
alfworld,rank,gemini-flash,ID,2,full_rank,8,0.01,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,ID,2,full_rank,8,0.001,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,ID,2,top10,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,2,top10,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,2,top10,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,2,top2,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,2,top2,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,2,top2,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,2,top3,8,0.05,10,True,0.0107421875
alfworld,rank,gemini-flash,ID,2,top3,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,ID,2,top3,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,ID,2,top5,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,2,top5,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,ID,2,top5,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,ID,3,full_rank,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,3,full_rank,8,0.01,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,ID,3,full_rank,8,0.001,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,ID,3,top10,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,3,top10,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top10,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top2,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,3,top2,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top2,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top3,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,3,top3,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top3,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top5,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,ID,3,top5,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,ID,3,top5,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,1,full_rank,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,1,full_rank,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,1,full_rank,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,1,top10,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,1,top10,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,1,top10,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,1,top2,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,1,top2,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,1,top2,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,1,top3,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,1,top3,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,1,top3,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,1,top5,8,0.05,10,True,0.0107421875
alfworld,rank,gemini-flash,OOD,1,top5,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,1,top5,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,2,full_rank,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,2,full_rank,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,2,full_rank,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,2,top10,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,2,top10,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,2,top10,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,2,top2,8,0.05,10,True,0.0107421875
alfworld,rank,gemini-flash,OOD,2,top2,8,0.01,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,OOD,2,top2,8,0.001,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,OOD,2,top3,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,2,top3,8,0.01,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,2,top3,8,0.001,20,True,2.002716064453125e-05
alfworld,rank,gemini-flash,OOD,2,top5,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,2,top5,8,0.01,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,OOD,2,top5,8,0.001,20,True,0.00020122528076171875
alfworld,rank,gemini-flash,OOD,3,full_rank,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,3,full_rank,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,full_rank,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top10,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,3,top10,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top10,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top2,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,3,top2,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top2,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top3,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,3,top3,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top3,8,0.001,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top5,8,0.05,5,True,0.03125
alfworld,rank,gemini-flash,OOD,3,top5,8,0.01,10,True,0.0009765625
alfworld,rank,gemini-flash,OOD,3,top5,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_category,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_category,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_category,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_category,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_category,2,L0_exact_probs,8,0.01,,False,
toolbench,agentmark,deepseek,G1_category,2,L0_exact_probs,8,0.001,,False,
toolbench,agentmark,deepseek,G1_category,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_category,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_category,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_instruction,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_instruction,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_instruction,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_instruction,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_instruction,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_instruction,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_instruction,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_instruction,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_instruction,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_tool,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_tool,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_tool,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_tool,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_tool,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_tool,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_tool,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G1_tool,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G1_tool,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_category,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G2_category,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_category,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_category,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G2_category,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_category,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_category,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G2_category,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_category,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_instruction,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G2_instruction,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_instruction,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_instruction,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G2_instruction,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_instruction,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_instruction,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G2_instruction,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G2_instruction,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G3_instruction,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G3_instruction,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G3_instruction,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G3_instruction,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G3_instruction,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G3_instruction,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,deepseek,G3_instruction,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,deepseek,G3_instruction,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,deepseek,G3_instruction,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_category,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_category,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_category,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_category,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_category,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_category,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_category,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_category,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_category,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_instruction,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_instruction,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_instruction,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_instruction,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_instruction,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_instruction,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_instruction,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_instruction,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_instruction,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_tool,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_tool,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_tool,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_tool,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_tool,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_tool,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_tool,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G1_tool,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G1_tool,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_category,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G2_category,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_category,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_category,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G2_category,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_category,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_category,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G2_category,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_category,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_instruction,1,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G2_instruction,1,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_instruction,1,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_instruction,2,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G2_instruction,2,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_instruction,2,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_instruction,3,L0_exact_probs,8,0.05,5,True,0.03125
toolbench,agentmark,gemini-flash,G2_instruction,3,L0_exact_probs,8,0.01,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G2_instruction,3,L0_exact_probs,8,0.001,10,True,0.0009765625
toolbench,agentmark,gemini-flash,G3_instruction,1,L0_exact_probs,8,0.05,5,True,0.03125
