dataset,method,model,split,config,payload_len,alpha,runs,attained_runs,N_min_mean,N_min_std,N_min_median
alfworld,rank,deepseek,OOD,top2,8,0.001,3,3,10,0.0,10
alfworld,rank,deepseek,OOD,top2,8,0.01,3,3,10,0.0,10
alfworld,rank,deepseek,OOD,top2,8,0.05,3,3,5,0.0,5
alfworld,rank,deepseek,OOD,top2,16,0.001,3,3,20,0.0,20
alfworld,rank,deepseek,OOD,top2,16,0.01,3,3,20,0.0,20
alfworld,rank,deepseek,OOD,top2,16,0.05,3,3,10,0.0,10
alfworld,rank,deepseek,OOD,top2,32,0.001,3,3,50,0.0,50
alfworld,rank,deepseek,OOD,top2,32,0.01,3,3,50,0.0,50
alfworld,rank,deepseek,OOD,top2,32,0.05,3,3,20,0.0,20
alfworld,rank,deepseek,OOD,top2,64,0.001,3,3,80,0.0,80
alfworld,rank,deepseek,OOD,top2,64,0.01,3,3,80,0.0,80
alfworld,rank,deepseek,OOD,top2,64,0.05,3,3,50,0.0,50
alfworld,rank,deepseek,OOD,top3,8,0.001,3,3,16.666666666666668,11.547005383792515,10
alfworld,rank,deepseek,OOD,top3,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,top3,8,0.05,3,3,6.666666666666667,2.8867513459481287,5
alfworld,rank,deepseek,OOD,top3,16,0.001,3,3,40,34.64101615137755,20
alfworld,rank,deepseek,OOD,top3,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,top3,16,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,top3,32,0.001,3,3,83.33333333333333,57.735026918962575,50
alfworld,rank,deepseek,OOD,top3,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,top3,32,0.05,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,top3,64,0.001,3,2,80,0.0,80.0
alfworld,rank,deepseek,OOD,top3,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,top3,64,0.05,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,top5,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,top5,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,deepseek,OOD,top5,8,0.05,3,3,5,0.0,5
alfworld,rank,deepseek,OOD,top5,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,top5,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,deepseek,OOD,top5,16,0.05,3,3,10,0.0,10
alfworld,rank,deepseek,OOD,top5,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,top5,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,deepseek,OOD,top5,32,0.05,3,3,20,0.0,20
alfworld,rank,deepseek,OOD,top5,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,top5,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,deepseek,OOD,top5,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,full_rank,8,0.001,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,gemini-flash,ID,full_rank,8,0.01,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,gemini-flash,ID,full_rank,8,0.05,3,3,6.666666666666667,2.8867513459481287,5
alfworld,rank,gemini-flash,ID,full_rank,16,0.001,3,3,40,17.320508075688775,50
alfworld,rank,gemini-flash,ID,full_rank,16,0.01,3,3,40,17.320508075688775,50
alfworld,rank,gemini-flash,ID,full_rank,16,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,ID,full_rank,32,0.001,3,3,70,17.320508075688775,80
alfworld,rank,gemini-flash,ID,full_rank,32,0.01,3,3,70,17.320508075688775,80
alfworld,rank,gemini-flash,ID,full_rank,32,0.05,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,ID,full_rank,64,0.001,3,3,160,69.2820323027551,200
alfworld,rank,gemini-flash,ID,full_rank,64,0.01,3,3,160,69.2820323027551,200
alfworld,rank,gemini-flash,ID,full_rank,64,0.05,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,ID,top10,8,0.001,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top10,8,0.01,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top10,8,0.05,3,3,5,0.0,5
alfworld,rank,gemini-flash,ID,top10,16,0.001,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top10,16,0.01,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top10,16,0.05,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top10,32,0.001,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,top10,32,0.01,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,top10,32,0.05,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top10,64,0.001,3,3,80,0.0,80
alfworld,rank,gemini-flash,ID,top10,64,0.01,3,3,80,0.0,80
alfworld,rank,gemini-flash,ID,top10,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,top2,8,0.001,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top2,8,0.01,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top2,8,0.05,3,3,5,0.0,5
alfworld,rank,gemini-flash,ID,top2,16,0.001,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top2,16,0.01,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top2,16,0.05,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top2,32,0.001,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,top2,32,0.01,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,top2,32,0.05,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top2,64,0.001,3,3,80,0.0,80
alfworld,rank,gemini-flash,ID,top2,64,0.01,3,3,80,0.0,80
alfworld,rank,gemini-flash,ID,top2,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,ID,top3,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,ID,top3,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,ID,top3,8,0.05,3,3,6.666666666666667,2.8867513459481287,5
alfworld,rank,gemini-flash,ID,top3,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,ID,top3,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,ID,top3,16,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,ID,top3,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,ID,top3,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,ID,top3,32,0.05,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,ID,top3,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,ID,top3,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,ID,top3,64,0.05,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,ID,top5,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,ID,top5,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,ID,top5,8,0.05,3,3,5,0.0,5
alfworld,rank,gemini-flash,ID,top5,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,ID,top5,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,ID,top5,16,0.05,3,3,10,0.0,10
alfworld,rank,gemini-flash,ID,top5,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,ID,top5,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,ID,top5,32,0.05,3,3,20,0.0,20
alfworld,rank,gemini-flash,ID,top5,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,ID,top5,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,ID,top5,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,OOD,full_rank,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,full_rank,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,full_rank,8,0.05,3,3,5,0.0,5
alfworld,rank,gemini-flash,OOD,full_rank,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,full_rank,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,full_rank,16,0.05,3,3,10,0.0,10
alfworld,rank,gemini-flash,OOD,full_rank,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,full_rank,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,full_rank,32,0.05,3,3,20,0.0,20
alfworld,rank,gemini-flash,OOD,full_rank,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,full_rank,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,full_rank,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,OOD,top10,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top10,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top10,8,0.05,3,3,5,0.0,5
alfworld,rank,gemini-flash,OOD,top10,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top10,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top10,16,0.05,3,3,10,0.0,10
alfworld,rank,gemini-flash,OOD,top10,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top10,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top10,32,0.05,3,3,20,0.0,20
alfworld,rank,gemini-flash,OOD,top10,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,top10,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,top10,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,OOD,top2,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top2,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top2,8,0.05,3,3,6.666666666666667,2.8867513459481287,5
alfworld,rank,gemini-flash,OOD,top2,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top2,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top2,16,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top2,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top2,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top2,32,0.05,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top2,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,top2,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,top2,64,0.05,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top3,8,0.001,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top3,8,0.01,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top3,8,0.05,3,3,5,0.0,5
alfworld,rank,gemini-flash,OOD,top3,16,0.001,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top3,16,0.01,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top3,16,0.05,3,3,10,0.0,10
alfworld,rank,gemini-flash,OOD,top3,32,0.001,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top3,32,0.01,3,3,60,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top3,32,0.05,3,3,20,0.0,20
alfworld,rank,gemini-flash,OOD,top3,64,0.001,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,top3,64,0.01,3,3,120,69.2820323027551,80
alfworld,rank,gemini-flash,OOD,top3,64,0.05,3,3,50,0.0,50
alfworld,rank,gemini-flash,OOD,top5,8,0.001,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,gemini-flash,OOD,top5,8,0.01,3,3,16.666666666666668,5.773502691896257,20
alfworld,rank,gemini-flash,OOD,top5,8,0.05,3,3,6.666666666666667,2.8867513459481287,5
alfworld,rank,gemini-flash,OOD,top5,16,0.001,3,3,40,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top5,16,0.01,3,3,40,17.320508075688775,50
alfworld,rank,gemini-flash,OOD,top5,16,0.05,3,3,13.333333333333334,5.773502691896257,10
alfworld,rank,gemini-flash,OOD,top5,32,0.001,3,3,70,17.320508075688775,80
alfworld,rank,gemini-flash,OOD,top5,32,0.01,3,3,70,17.320508075688775,80
alfworld,rank,gemini-flash,OOD,top5,32,0.05,3,3,30,17.320508075688775,20
alfworld,rank,gemini-flash,OOD,top5,64,0.001,3,3,160,69.2820323027551,200
alfworld,rank,gemini-flash,OOD,top5,64,0.01,3,3,160,69.2820323027551,200
alfworld,rank,gemini-flash,OOD,top5,64,0.05,3,3,60,17.320508075688775,50
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,8,0.001,3,2,10,0.0,10.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,8,0.01,3,2,10,0.0,10.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,8,0.05,3,3,5,0.0,5
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,16,0.001,2,2,20,0.0,20.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,16,0.01,2,2,20,0.0,20.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,16,0.05,3,3,10,0.0,10
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,32,0.001,2,2,50,0.0,50.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,32,0.01,2,2,50,0.0,50.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,32,0.05,3,3,20,0.0,20
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,64,0.001,2,2,80,0.0,80.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,64,0.01,2,2,80,0.0,80.0
toolbench,agentmark,deepseek,G1_category,L0_exact_probs,64,0.05,3,3,50,0.0,50
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,8,0.001,3,3,10,0.0,10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,8,0.01,3,3,10,0.0,10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,8,0.05,3,3,5,0.0,5
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,16,0.001,3,3,20,0.0,20
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,16,0.01,3,3,20,0.0,20
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,16,0.05,3,3,10,0.0,10
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,32,0.001,3,3,50,0.0,50
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,32,0.01,3,3,50,0.0,50
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,32,0.05,3,3,20,0.0,20
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,64,0.001,3,3,80,0.0,80
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,64,0.01,3,3,80,0.0,80
toolbench,agentmark,deepseek,G1_instruction,L0_exact_probs,64,0.05,3,3,50,0.0,50
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,8,0.001,3,3,10,0.0,10
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,8,0.01,3,3,10,0.0,10
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,8,0.05,3,3,5,0.0,5
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,16,0.001,3,3,20,0.0,20
toolbench,agentmark,deepseek,G1_tool,L0_exact_probs,16,0.01,3,3,20,0.0,20
