dataset,method,model,split,run,task_id,config,topk,source,step_start_index,bits_in_step,decoded_bits,expected_bits,step_match,bit_matches
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,3,4,1100,1100,1,1111
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,7,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,8,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,9,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,11,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,014,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_014/evaluation_report.json,14,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,015,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,015,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_015/evaluation_report.json,1,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,016,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_016/evaluation_report.json,0,4,1111,1111,1,1111
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,2,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,4,3,100,100,1,111
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,7,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,9,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,11,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,14,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,17,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,19,4,0011,0011,1,1111
alfworld,agentmark,deepseek,ID,1,017,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_017/evaluation_report.json,23,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,2,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,4,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,5,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,6,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,018,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_018/evaluation_report.json,9,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,019,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,0,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,019,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_019/evaluation_report.json,2,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,1,4,1111,1111,1,1111
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,5,3,001,001,1,111
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,8,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,11,4,0101,0101,1,1111
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,15,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,020,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_020/evaluation_report.json,17,1,0,0,1,1
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,1,5,11110,11110,1,11111
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,6,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,9,2,10,10,1,11
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,11,4,0101,0101,1,1111
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,15,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,021,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_021/evaluation_report.json,17,3,010,010,1,111
alfworld,agentmark,deepseek,ID,1,022,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,0,1,1,1,1,1
alfworld,agentmark,deepseek,ID,1,022,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,1,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,022,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_022/evaluation_report.json,4,3,100,100,1,111
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,0,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,3,2,11,11,1,11
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,5,3,001,001,1,111
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,8,2,01,01,1,11
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,10,4,0010,0010,1,1111
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,14,3,111,111,1,111
alfworld,agentmark,deepseek,ID,1,023,L0_exact_probs,full,/root/autodl-tmp/output-0510/alfworld/agentmark/deepseek/run_1/ID/task_023/evaluation_report.json,17,1,0,0,1,1
