dataset,method,model,split,config,N,runs,observed_N_min,observed_N_mean,match_rate_mean,match_rate_std,log10_p_value_mean,log10_p_value_std,p_value_geomean
alfworld,agentmark,deepseek,OOD,L0_exact_probs,150,3,150,150,1.0,0.0,-45.15449934959718,0.0,7.006492321624059e-46
alfworld,agentmark,deepseek,OOD,L0_exact_probs,200,3,200,200,1.0,0.0,-60.20599913279624,0.0,6.223015277861178e-61
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,30,3,30,30,1.0,0.0,-9.030899869919436,0.0,9.313225746154785e-10
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,50,3,50,50,1.0,0.0,-15.05149978319906,0.0,8.881784197001266e-16
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,80,3,80,80,1.0,0.0,-24.082399653118497,0.0,8.271806125530256e-25
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,100,3,100,100,1.0,0.0,-30.10299956639812,0.0,7.88860905221014e-31
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,150,3,150,150,1.0,0.0,-45.15449934959718,0.0,7.006492321624059e-46
alfworld,agentmark,gemini-flash,ID,L0_exact_probs,200,3,200,200,1.0,0.0,-60.20599913279624,0.0,6.223015277861178e-61
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,30,3,30,30,1.0,0.0,-9.030899869919436,0.0,9.313225746154785e-10
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,50,3,50,50,1.0,0.0,-15.05149978319906,0.0,8.881784197001266e-16
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,80,3,80,80,1.0,0.0,-24.082399653118497,0.0,8.271806125530256e-25
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,100,3,100,100,1.0,0.0,-30.10299956639812,0.0,7.88860905221014e-31
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,150,3,150,150,1.0,0.0,-45.15449934959718,0.0,7.006492321624059e-46
alfworld,agentmark,gemini-flash,OOD,L0_exact_probs,200,3,200,200,1.0,0.0,-60.20599913279624,0.0,6.223015277861178e-61
alfworld,rank,deepseek,ID,full_rank,5,3,5,5,0.7333333333333334,0.11547005383792519,-0.5850091505121686,0.24593316224376513,0.260010477881488
alfworld,rank,deepseek,ID,full_rank,10,3,10,10,0.8666666666666667,0.05773502691896256,-1.7333088241989285,0.4080684808779021,0.018479540825994917
alfworld,rank,deepseek,ID,full_rank,20,3,20,20,0.9333333333333333,0.02886751345948125,-4.364359565024447,0.5785414354965018,4.321558884591481e-05
alfworld,rank,deepseek,ID,full_rank,30,3,30,30,0.9555555555555556,0.01924500897298752,-7.147196768466587,0.6795552519084641,7.12530126584183e-08
alfworld,rank,deepseek,ID,full_rank,50,3,50,50,0.9733333333333333,0.011547005383792526,-12.877836107672055,0.8072976220887239,1.324841404260517e-13
alfworld,rank,deepseek,ID,full_rank,80,3,80,80,0.9791666666666666,0.007216878364870361,-21.10578529280414,0.9250271442108648,7.838170517135527e-22
alfworld,rank,deepseek,ID,full_rank,100,3,100,100,0.9733333333333333,0.005773502691896263,-25.387161478863714,0.8768167030069595,4.1005160973094996e-26
alfworld,rank,deepseek,ID,full_rank,150,3,150,150,0.9644444444444444,0.00384900179459753,-35.90531143531675,0.8004438471570496,1.2436224823947584e-36
alfworld,rank,deepseek,ID,full_rank,200,3,200,200,0.9666666666666667,0.00763762615825974,-48.356257390727585,2.219127476269757,4.402938398331523e-49
alfworld,rank,deepseek,ID,top10,5,3,5,5,0.7333333333333334,0.11547005383792519,-0.5850091505121686,0.24593316224376513,0.260010477881488
alfworld,rank,deepseek,ID,top10,10,3,10,10,0.8666666666666667,0.05773502691896256,-1.7333088241989285,0.4080684808779021,0.018479540825994917
alfworld,rank,deepseek,ID,top10,20,3,20,20,0.9333333333333333,0.02886751345948125,-4.364359565024447,0.5785414354965018,4.321558884591481e-05
alfworld,rank,deepseek,ID,top10,30,3,30,30,0.9555555555555556,0.01924500897298752,-7.147196768466587,0.6795552519084641,7.12530126584183e-08
alfworld,rank,deepseek,ID,top10,50,3,50,50,0.9733333333333333,0.011547005383792526,-12.877836107672055,0.8072976220887239,1.324841404260517e-13
alfworld,rank,deepseek,ID,top10,80,3,80,80,0.9791666666666666,0.007216878364870361,-21.10578529280414,0.9250271442108648,7.838170517135527e-22
alfworld,rank,deepseek,ID,top10,100,3,100,100,0.9733333333333333,0.005773502691896263,-25.387161478863714,0.8768167030069595,4.1005160973094996e-26
alfworld,rank,deepseek,ID,top10,150,3,150,150,0.9688888888888889,0.00384900179459753,-36.85695130905322,0.847844764662965,1.3901084745556448e-37
alfworld,rank,deepseek,ID,top10,200,3,200,200,0.9716666666666667,0.0028867513459481316,-49.78126746560032,0.8742350734497927,1.6547505511056597e-50
alfworld,rank,deepseek,ID,top2,5,3,5,5,0.9333333333333333,0.11547005383792512,-1.2457662281920248,0.4492658338792406,0.056785018526004365
alfworld,rank,deepseek,ID,top2,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,deepseek,ID,top2,20,3,20,20,0.9833333333333333,0.028867513459481315,-5.579860148368318,0.7633836657423456,2.6311151279269404e-06
alfworld,rank,deepseek,ID,top2,30,3,30,30,0.9777777777777777,0.01924500897298752,-8.036658740696588,0.8610380753943138,9.190544861572764e-09
alfworld,rank,deepseek,ID,top2,50,3,50,50,0.9666666666666667,0.023094010767585053,-12.473237236405962,1.508083423806616,3.363277977689731e-13
alfworld,rank,deepseek,ID,top2,80,3,80,80,0.9583333333333334,0.02886751345948125,-18.90411578626253,2.8883763025943026,1.247050996493527e-19
alfworld,rank,deepseek,ID,top2,100,3,100,100,0.9566666666666667,0.023094010767584987,-23.20911449486263,2.8956713345550735,6.178534913765819e-24
alfworld,rank,deepseek,ID,top2,150,3,150,150,0.9577777777777777,0.010183501544346316,-34.58580818601676,2.008632645197459,2.5953253812384987e-35
alfworld,rank,deepseek,ID,top2,200,3,193,197.66666666666666,0.9545768566493955,0.021513782800041136,-44.73692651581434,5.17584744763916,1.8326244827812805e-45
alfworld,rank,deepseek,ID,top3,5,3,5,5,0.8666666666666667,0.11547005383792512,-0.9863824780641436,0.4492658338792406,0.10318522652795707
alfworld,rank,deepseek,ID,top3,10,3,10,10,0.9333333333333333,0.05773502691896256,-2.316038166534329,0.6012483471082085,0.004830163518797557
alfworld,rank,deepseek,ID,top3,20,3,20,20,0.9666666666666667,0.028867513459481315,-5.139120383457011,0.7633836657423456,7.2590471372797424e-06
alfworld,rank,deepseek,ID,top3,30,3,30,30,0.9666666666666667,0.0,-7.539538176085163,0.0,2.8870999813079864e-08
alfworld,rank,deepseek,ID,top3,50,3,50,50,0.9733333333333333,0.011547005383792526,-12.877836107672055,0.8072976220887239,1.324841404260517e-13
alfworld,rank,deepseek,ID,top3,80,3,80,80,0.9708333333333333,0.007216878364870297,-20.098125980405452,0.8202899815835802,7.977632380585073e-21
alfworld,rank,deepseek,ID,top3,100,3,100,100,0.97,0.010000000000000009,-24.924014848730486,1.4545441172131126,1.1912012796049012e-25
alfworld,rank,deepseek,ID,top3,150,3,150,150,0.9622222222222222,0.010183501544346328,-35.493836853770745,2.1324770151534667,3.2074740117303957e-36
alfworld,rank,deepseek,ID,top3,200,3,200,200,0.9616666666666667,0.012583057392117927,-47.02295551818869,3.5152216986145173,9.485156082876353e-48
alfworld,rank,deepseek,ID,top5,5,3,5,5,0.7333333333333334,0.11547005383792519,-0.5850091505121686,0.24593316224376513,0.260010477881488
alfworld,rank,deepseek,ID,top5,10,3,10,10,0.8666666666666667,0.05773502691896256,-1.7333088241989285,0.4080684808779021,0.018479540825994917
alfworld,rank,deepseek,ID,top5,20,3,20,20,0.9333333333333333,0.02886751345948125,-4.364359565024447,0.5785414354965018,4.321558884591481e-05
alfworld,rank,deepseek,ID,top5,30,3,30,30,0.9555555555555556,0.01924500897298752,-7.147196768466587,0.6795552519084641,7.12530126584183e-08
alfworld,rank,deepseek,ID,top5,50,3,50,50,0.9666666666666667,0.011547005383792526,-12.411742608242985,0.8072976220887239,3.874872275509578e-13
alfworld,rank,deepseek,ID,top5,80,3,80,80,0.9708333333333333,0.007216878364870297,-20.098125980405452,0.8202899815835802,7.977632380585073e-21
alfworld,rank,deepseek,ID,top5,100,3,100,100,0.9733333333333333,0.011547005383792526,-25.430245208241516,1.679010197752016,3.713255147449992e-26
alfworld,rank,deepseek,ID,top5,150,3,150,150,0.9711111111111111,0.00384900179459753,-37.346454712162405,0.847844764662965,4.5034494040457716e-38
alfworld,rank,deepseek,ID,top5,200,3,200,200,0.9683333333333333,0.0028867513459481316,-48.79483547756643,0.8343152480360798,1.603852858231407e-49
alfworld,rank,deepseek,OOD,full_rank,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,deepseek,OOD,full_rank,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,deepseek,OOD,full_rank,20,3,20,20,0.95,0.04999999999999999,-4.805099329935754,1.1658104029050917,1.5663927706270154e-05
alfworld,rank,deepseek,OOD,full_rank,30,3,30,30,0.9333333333333333,0.033333333333333326,-6.425745816538441,1.083561037731012,3.7519253032414085e-07
alfworld,rank,deepseek,OOD,full_rank,50,3,50,50,0.9066666666666666,0.030550504633038898,-9.066199847944644,1.509103518324777,8.58618322853334e-10
alfworld,rank,deepseek,OOD,full_rank,80,3,80,80,0.9125,0.02165063509461102,-14.599321870827794,1.679369172457719,2.5158116806299802e-15
alfworld,rank,deepseek,OOD,full_rank,100,3,100,100,0.9133333333333333,0.01527525231651948,-18.153315689290473,1.5592736444462563,7.025614412937497e-19
alfworld,rank,deepseek,OOD,full_rank,150,3,150,150,0.9244444444444444,0.003849001794597466,-28.59068483270117,0.616301933605344,2.5663457568055917e-29
alfworld,rank,deepseek,OOD,full_rank,200,3,200,200,0.9233333333333333,0.0028867513459481316,-37.649225652694696,0.6153381449875929,2.242716340281577e-38
alfworld,rank,deepseek,OOD,top10,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,deepseek,OOD,top10,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,deepseek,OOD,top10,20,3,20,20,0.95,0.04999999999999999,-4.805099329935754,1.1658104029050917,1.5663927706270154e-05
alfworld,rank,deepseek,OOD,top10,30,3,30,30,0.9333333333333333,0.033333333333333326,-6.425745816538441,1.083561037731012,3.7519253032414085e-07
alfworld,rank,deepseek,OOD,top10,50,3,50,50,0.9066666666666666,0.030550504633038898,-9.066199847944644,1.509103518324777,8.58618322853334e-10
alfworld,rank,deepseek,OOD,top10,80,3,80,80,0.9125,0.02165063509461102,-14.599321870827794,1.679369172457719,2.5158116806299802e-15
alfworld,rank,deepseek,OOD,top10,100,3,100,100,0.9066666666666667,0.005773502691896263,-17.45802992878727,0.5570172090454529,3.483133106919102e-18
alfworld,rank,deepseek,OOD,top10,150,3,150,150,0.9244444444444444,0.003849001794597466,-28.59068483270117,0.616301933605344,2.5663457568055917e-29
alfworld,rank,deepseek,OOD,top10,200,3,200,200,0.925,0.0050000000000000044,-38.0145993727254,1.0809944902745205,9.66942451214483e-39
alfworld,rank,deepseek,OOD,top2,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,deepseek,OOD,top2,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,rank,deepseek,OOD,top2,20,3,20,20,0.9333333333333333,0.02886751345948125,-4.364359565024447,0.5785414354965018,4.321558884591481e-05
alfworld,rank,deepseek,OOD,top2,30,3,30,30,0.9222222222222223,0.01924500897298752,-6.033404408919866,0.5700344520000155,9.2596717417519e-07
alfworld,rank,deepseek,OOD,top2,50,3,50,50,0.9466666666666667,0.011547005383792526,-11.13645136628173,0.7007858017178922,7.303795985931928e-12
alfworld,rank,deepseek,OOD,top2,80,3,80,80,0.95,0.012500000000000011,-17.894584668859896,1.239646325256718,1.274721559501454e-18
alfworld,rank,deepseek,OOD,top2,100,3,100,100,0.9566666666666667,0.011547005383792526,-23.095852449303564,1.5459234760162794,8.019504782072551e-24
alfworld,rank,deepseek,OOD,top2,150,3,150,150,0.9222222222222222,0.015396007178389992,-28.302090068819922,2.5161506694659095,4.987810339743997e-29
alfworld,rank,deepseek,OOD,top2,200,3,200,200,0.93,0.013228756555322902,-39.17828080154847,3.003719737640773,6.633140531132559e-40
alfworld,rank,deepseek,OOD,top3,5,3,5,5,0.9333333333333333,0.11547005383792512,-1.2457662281920248,0.4492658338792406,0.056785018526004365
alfworld,rank,deepseek,OOD,top3,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,deepseek,OOD,top3,20,3,20,20,0.9166666666666666,0.07637626158259735,-4.202287311839716,1.6255014144410072,6.276429979593083e-05
alfworld,rank,deepseek,OOD,top3,30,3,30,30,0.9,0.05773502691896256,-5.504763055796681,1.4856681345913325,3.1277853719470132e-06
alfworld,rank,deepseek,OOD,top3,50,3,50,50,0.9133333333333333,0.030550504633038912,-9.391119340640898,1.488121215147013,4.063316571417316e-10
alfworld,rank,deepseek,OOD,top3,80,3,80,80,0.9249999999999999,0.021650635094610952,-15.64546899321885,1.9182462781007654,2.2622000454776907e-16
alfworld,rank,deepseek,OOD,top3,100,3,100,100,0.9233333333333333,0.03511884584284244,-19.394086987190903,3.833029029367554,4.0356455274474054e-20
alfworld,rank,deepseek,OOD,top3,150,3,150,150,0.9422222222222222,0.016777409856157218,-31.711678671842655,3.0486959568622285,1.9423224421463688e-32
alfworld,rank,deepseek,OOD,top3,200,3,200,200,0.95,0.013228756555322964,-43.9383049788455,3.4245219452665663,1.1526435414421639e-44
alfworld,rank,deepseek,OOD,top5,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,deepseek,OOD,top5,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,deepseek,OOD,top5,20,3,20,20,0.9666666666666667,0.028867513459481315,-5.139120383457011,0.7633836657423456,7.2590471372797424e-06
alfworld,rank,deepseek,OOD,top5,30,3,30,30,0.9333333333333333,0.06666666666666665,-6.640033724428701,2.2648941528017503,2.29068976608849e-07
alfworld,rank,deepseek,OOD,top5,50,3,50,50,0.9333333333333333,0.030550504633038898,-10.451421589653446,1.6523876505572108,3.536538663027434e-11
alfworld,rank,deepseek,OOD,top5,80,3,80,80,0.9291666666666667,0.007216878364870297,-15.936720178493376,0.6370726463757044,1.1568573801676929e-16
alfworld,rank,deepseek,OOD,top5,100,3,100,100,0.94,0.009999999999999953,-21.022500730213963,1.1690975313381025,9.495094027149398e-22
alfworld,rank,deepseek,OOD,top5,150,3,150,150,0.94,0.013333333333333364,-31.272837157814777,2.35968222814785,5.335349111634665e-32
alfworld,rank,deepseek,OOD,top5,200,3,200,200,0.9533333333333333,0.00763762615825974,-44.71776572484867,1.957928080230198,1.9152888268790553e-45
alfworld,rank,gemini-flash,ID,full_rank,5,3,5,5,0.9333333333333333,0.11547005383792512,-1.2457662281920248,0.4492658338792406,0.056785018526004365
alfworld,rank,gemini-flash,ID,full_rank,10,3,10,10,0.9333333333333333,0.05773502691896256,-2.316038166534329,0.6012483471082085,0.004830163518797557
alfworld,rank,gemini-flash,ID,full_rank,20,3,20,20,0.9333333333333333,0.05773502691896256,-4.471078276414495,1.3419251012388473,3.380039095313053e-05
alfworld,rank,gemini-flash,ID,full_rank,30,3,30,30,0.9555555555555556,0.03849001794597504,-7.251975925459436,1.5405933273027779,5.597886317779279e-08
alfworld,rank,gemini-flash,ID,full_rank,50,3,50,50,0.9666666666666667,0.011547005383792526,-12.411742608242985,0.8072976220887239,3.874872275509578e-13
alfworld,rank,gemini-flash,ID,full_rank,80,3,80,80,0.9708333333333333,0.007216878364870297,-20.098125980405452,0.8202899815835802,7.977632380585073e-21
alfworld,rank,gemini-flash,ID,full_rank,100,3,100,100,0.9666666666666667,0.01527525231651948,-24.494622143839152,2.1246596079635682,3.2016795065694805e-25
alfworld,rank,gemini-flash,ID,full_rank,150,3,150,150,0.9711111111111111,0.00384900179459753,-37.346454712162405,0.847844764662965,4.5034494040457716e-38
alfworld,rank,gemini-flash,ID,full_rank,200,3,200,200,0.9716666666666667,0.010408329997330672,-49.87455158776507,3.074044247022253,1.334899013872857e-50
alfworld,rank,gemini-flash,ID,top10,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,gemini-flash,ID,top10,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,rank,gemini-flash,ID,top10,20,3,20,20,0.9833333333333333,0.028867513459481315,-5.579860148368318,0.7633836657423456,2.6311151279269404e-06
alfworld,rank,gemini-flash,ID,top10,30,3,30,30,0.9888888888888889,0.01924500897298752,-8.53377930530801,0.8610380753943138,2.925638717032409e-09
alfworld,rank,gemini-flash,ID,top10,50,3,50,50,0.9866666666666667,0.011547005383792526,-13.913119665800435,0.9858661008303194,1.221463051022526e-14
alfworld,rank,gemini-flash,ID,top10,80,3,80,80,0.975,0.012500000000000011,-20.632190651123306,1.51239590402194,2.332433921322874e-21
alfworld,rank,gemini-flash,ID,top10,100,3,100,100,0.9733333333333333,0.005773502691896263,-25.387161478863714,0.8768167030069595,4.1005160973094996e-26
alfworld,rank,gemini-flash,ID,top10,150,3,150,150,0.9733333333333334,0.006666666666666654,-37.8692285243198,1.5186891720564024,1.3513612942340607e-38
alfworld,rank,gemini-flash,ID,top10,200,3,200,200,0.975,0.0050000000000000044,-50.817869529595164,1.5550804977529908,1.5210044000418804e-51
alfworld,rank,gemini-flash,ID,top2,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,gemini-flash,ID,top2,10,3,10,10,1.0,0.0,-3.010299956639812,0.0,0.0009765624999999997
alfworld,rank,gemini-flash,ID,top2,20,3,20,20,1.0,0.0,-6.020599913279624,0.0,9.536743164062494e-07
alfworld,rank,gemini-flash,ID,top2,30,3,30,30,0.9888888888888889,0.01924500897298752,-8.53377930530801,0.8610380753943138,2.925638717032409e-09
alfworld,rank,gemini-flash,ID,top2,50,3,50,50,0.9866666666666667,0.011547005383792526,-13.913119665800435,0.9858661008303194,1.221463051022526e-14
alfworld,rank,gemini-flash,ID,top2,80,3,80,80,0.9833333333333333,0.014433756729740658,-21.741946965763688,2.0268914836048215,1.8115612994462247e-22
alfworld,rank,gemini-flash,ID,top2,100,3,100,100,0.9833333333333333,0.01527525231651948,-27.12785096121219,2.6861194249714258,7.449875907802198e-28
alfworld,rank,gemini-flash,ID,top2,150,3,150,150,0.9733333333333334,0.006666666666666654,-37.8692285243198,1.5186891720564024,1.3513612942340607e-38
alfworld,rank,gemini-flash,ID,top2,200,3,200,200,0.9766666666666667,0.0028867513459481316,-51.322609384586414,0.9212123686200338,4.757629467595856e-52
alfworld,rank,gemini-flash,ID,top3,5,3,5,5,0.9333333333333333,0.11547005383792512,-1.2457662281920248,0.4492658338792406,0.056785018526004365
alfworld,rank,gemini-flash,ID,top3,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,gemini-flash,ID,top3,20,3,20,20,0.9833333333333333,0.028867513459481315,-5.579860148368318,0.7633836657423456,2.6311151279269404e-06
alfworld,rank,gemini-flash,ID,top3,30,3,30,30,0.9888888888888889,0.01924500897298752,-8.53377930530801,0.8610380753943138,2.925638717032409e-09
alfworld,rank,gemini-flash,ID,top3,50,3,50,50,0.9933333333333333,0.011547005383792526,-14.482309724499748,0.9858661008303194,3.2937472920357408e-15
alfworld,rank,gemini-flash,ID,top3,80,3,80,80,0.9833333333333334,0.007216878364870361,-21.639849963521993,0.9250271442108648,2.291659219566466e-22
alfworld,rank,gemini-flash,ID,top3,100,3,100,100,0.9866666666666667,0.005773502691896263,-27.532326194372242,0.9809504359254443,2.9354440402167293e-28
alfworld,rank,gemini-flash,ID,top3,150,3,150,150,0.9844444444444445,0.007698003589194996,-40.59469383526386,2.061858021112472,2.5427646475445467e-41
alfworld,rank,gemini-flash,ID,top3,200,3,200,200,0.98,0.008660254037844393,-52.47951306159656,2.7738667685071263,3.315025995761872e-53
alfworld,rank,gemini-flash,ID,top5,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,gemini-flash,ID,top5,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,gemini-flash,ID,top5,20,3,20,20,0.9833333333333333,0.028867513459481315,-5.579860148368318,0.7633836657423456,2.6311151279269404e-06
alfworld,rank,gemini-flash,ID,top5,30,3,30,30,0.9888888888888889,0.01924500897298752,-8.53377930530801,0.8610380753943138,2.925638717032409e-09
alfworld,rank,gemini-flash,ID,top5,50,3,50,50,0.9933333333333333,0.011547005383792526,-14.482309724499748,0.9858661008303194,3.2937472920357408e-15
alfworld,rank,gemini-flash,ID,top5,80,3,80,80,0.9958333333333333,0.007216878364870297,-23.446237980158948,1.101864339393957,3.5790026490636516e-24
alfworld,rank,gemini-flash,ID,top5,100,3,100,100,0.9933333333333333,0.005773502691896263,-28.766785317209692,1.1571954846959285,1.7108608280444626e-29
alfworld,rank,gemini-flash,ID,top5,150,3,150,150,0.9844444444444445,0.010183501544346267,-40.637301103294085,2.6008924505369664,2.305148438370327e-41
alfworld,rank,gemini-flash,ID,top5,200,3,200,200,0.9833333333333333,0.00763762615825974,-53.59151147729857,2.590931717418673,2.5614655701733018e-54
alfworld,rank,gemini-flash,OOD,full_rank,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,gemini-flash,OOD,full_rank,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,gemini-flash,OOD,full_rank,20,3,20,20,0.9833333333333333,0.028867513459481315,-5.579860148368318,0.7633836657423456,2.6311151279269404e-06
alfworld,rank,gemini-flash,OOD,full_rank,30,3,30,30,0.9666666666666667,0.033333333333333326,-7.644317333078011,1.3372751601306598,2.2682068982686507e-08
alfworld,rank,gemini-flash,OOD,full_rank,50,3,50,50,0.96,0.020000000000000018,-12.007143736976893,1.307123904547649,9.836854848189203e-13
alfworld,rank,gemini-flash,OOD,full_rank,80,3,80,80,0.9375,0.021650635094610952,-16.752968998252324,1.9182462781007654,1.766163892315856e-17
alfworld,rank,gemini-flash,OOD,full_rank,100,3,100,100,0.9333333333333333,0.03785938897200179,-20.53028491390088,4.064719900778535,2.949273754730805e-21
alfworld,rank,gemini-flash,OOD,full_rank,150,3,150,150,0.9444444444444444,0.027755546659548446,-32.293783886801556,4.904847928213912,5.084123752958656e-33
alfworld,rank,gemini-flash,OOD,full_rank,200,3,200,200,0.9366666666666666,0.017559422921421187,-40.7609139912442,4.11405888153567,1.7341473985987526e-41
alfworld,rank,gemini-flash,OOD,top10,5,3,5,5,1.0,0.0,-1.505149978319906,0.0,0.031249999999999997
alfworld,rank,gemini-flash,OOD,top10,10,3,10,10,0.9666666666666667,0.05773502691896256,-2.6631690615870705,0.6012483471082085,0.0021718555571965965
alfworld,rank,gemini-flash,OOD,top10,20,3,20,20,0.9666666666666667,0.028867513459481315,-5.139120383457011,0.7633836657423456,7.2590471372797424e-06
alfworld,rank,gemini-flash,OOD,top10,30,3,30,30,0.9666666666666667,0.033333333333333326,-7.644317333078011,1.3372751601306598,2.2682068982686507e-08
alfworld,rank,gemini-flash,OOD,top10,50,3,50,50,0.9533333333333333,0.011547005383792526,-11.541050237547823,0.7007858017178922,2.877065587388985e-12
alfworld,rank,gemini-flash,OOD,top10,80,3,80,80,0.9291666666666667,0.026020824993326627,-16.03448703084623,2.2149041424266955,9.236617709314442e-17
alfworld,rank,gemini-flash,OOD,top10,100,3,100,100,0.9266666666666666,0.032145502536643146,-19.69935711441,3.3483764654039483,1.99821808650435e-20
alfworld,rank,gemini-flash,OOD,top10,150,3,150,150,0.9333333333333333,0.024037008503093295,-30.242333786753747,3.993217408060954,5.723559648966153e-31
alfworld,rank,gemini-flash,OOD,top10,200,3,200,200,0.9383333333333334,0.011547005383792462,-41.06260159405347,2.648401205389525,8.657617729246493e-42
alfworld,rank,gemini-flash,OOD,top2,5,3,5,5,0.9333333333333333,0.11547005383792512,-1.2457662281920248,0.4492658338792406,0.056785018526004365
