dataset,method,model,split,run,config,N,observed_N,matches,match_rate,p_value,log10_p_value,truncated
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,gemini-flash,OOD,1,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,gemini-flash,OOD,2,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,50,50,50,1.0,8.881784197001252e-16,-15.05149978319906,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,80,80,80,1.0,8.271806125530277e-25,-24.082399653118497,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,100,100,100,1.0,7.888609052210118e-31,-30.10299956639812,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,150,150,150,1.0,7.006492321624085e-46,-45.15449934959718,False
alfworld,agentmark,gemini-flash,OOD,3,L0_exact_probs,200,200,200,1.0,6.223015277861142e-61,-60.20599913279624,False
alfworld,rank,deepseek,ID,1,full_rank,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,1,full_rank,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,1,full_rank,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,1,full_rank,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,1,full_rank,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,1,full_rank,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,1,full_rank,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,1,full_rank,150,150,145,0.9666666666666667,4.290936563638017e-37,-36.36744790594405,False
alfworld,rank,deepseek,ID,1,full_rank,200,200,195,0.975,1.6190222767422942e-51,-50.79074717558282,False
alfworld,rank,deepseek,ID,1,top10,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,1,top10,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,1,top10,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,1,top10,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,1,top10,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,1,top10,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,1,top10,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,1,top10,150,150,145,0.9666666666666667,4.290936563638017e-37,-36.36744790594405,False
alfworld,rank,deepseek,ID,1,top10,200,200,195,0.975,1.6190222767422942e-51,-50.79074717558282,False
alfworld,rank,deepseek,ID,1,top2,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,rank,deepseek,ID,1,top2,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,rank,deepseek,ID,1,top2,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,rank,deepseek,ID,1,top2,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,1,top2,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,1,top2,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,1,top2,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,1,top2,150,150,145,0.9666666666666667,4.290936563638017e-37,-36.36744790594405,False
alfworld,rank,deepseek,ID,1,top2,200,200,194,0.97,5.290203632598724e-50,-49.27652761060907,False
alfworld,rank,deepseek,ID,1,top3,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,rank,deepseek,ID,1,top3,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,rank,deepseek,ID,1,top3,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,rank,deepseek,ID,1,top3,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,1,top3,50,50,48,0.96,1.1333156635373598e-12,-11.945649108813916,False
alfworld,rank,deepseek,ID,1,top3,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,1,top3,100,100,98,0.98,3.9845364322713306e-27,-26.39962219788577,False
alfworld,rank,deepseek,ID,1,top3,150,150,146,0.9733333333333334,1.458954959704385e-38,-37.83595811527158,False
alfworld,rank,deepseek,ID,1,top3,200,200,195,0.975,1.6190222767422942e-51,-50.79074717558282,False
alfworld,rank,deepseek,ID,1,top5,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,1,top5,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,1,top5,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,1,top5,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,1,top5,50,50,48,0.96,1.1333156635373598e-12,-11.945649108813916,False
alfworld,rank,deepseek,ID,1,top5,80,80,77,0.9625,7.064205149264112e-20,-19.150936697043786,False
alfworld,rank,deepseek,ID,1,top5,100,100,96,0.96,3.224844447881771e-24,-23.49149122895301,False
alfworld,rank,deepseek,ID,1,top5,150,150,146,0.9733333333333334,1.458954959704385e-38,-37.83595811527158,False
alfworld,rank,deepseek,ID,1,top5,200,200,194,0.97,5.290203632598724e-50,-49.27652761060907,False
alfworld,rank,deepseek,ID,2,full_rank,5,5,3,0.6,0.5,-0.3010299956639812,False
alfworld,rank,deepseek,ID,2,full_rank,10,10,8,0.8,0.0546875,-1.2621119296336116,False
alfworld,rank,deepseek,ID,2,full_rank,20,20,18,0.9,0.00020122528076171875,-3.696317457981931,False
alfworld,rank,deepseek,ID,2,full_rank,30,30,28,0.9333333333333333,4.33996319770813e-07,-6.362513953229436,False
alfworld,rank,deepseek,ID,2,full_rank,50,50,48,0.96,1.1333156635373598e-12,-11.945649108813916,False
alfworld,rank,deepseek,ID,2,full_rank,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,2,full_rank,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,2,full_rank,150,150,144,0.96,1.044627623656045e-35,-34.98103849406214,False
alfworld,rank,deepseek,ID,2,full_rank,200,200,192,0.96,3.576236364054487e-47,-46.44657378511879,False
alfworld,rank,deepseek,ID,2,top10,5,5,3,0.6,0.5,-0.3010299956639812,False
alfworld,rank,deepseek,ID,2,top10,10,10,8,0.8,0.0546875,-1.2621119296336116,False
alfworld,rank,deepseek,ID,2,top10,20,20,18,0.9,0.00020122528076171875,-3.696317457981931,False
alfworld,rank,deepseek,ID,2,top10,30,30,28,0.9333333333333333,4.33996319770813e-07,-6.362513953229436,False
alfworld,rank,deepseek,ID,2,top10,50,50,48,0.96,1.1333156635373598e-12,-11.945649108813916,False
alfworld,rank,deepseek,ID,2,top10,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,2,top10,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,2,top10,150,150,145,0.9666666666666667,4.290936563638017e-37,-36.36744790594405,False
alfworld,rank,deepseek,ID,2,top10,200,200,194,0.97,5.290203632598724e-50,-49.27652761060907,False
alfworld,rank,deepseek,ID,2,top2,5,5,5,1.0,0.03125,-1.505149978319906,False
alfworld,rank,deepseek,ID,2,top2,10,10,10,1.0,0.0009765625,-3.010299956639812,False
alfworld,rank,deepseek,ID,2,top2,20,20,20,1.0,9.5367431640625e-07,-6.020599913279624,False
alfworld,rank,deepseek,ID,2,top2,30,30,30,1.0,9.313225746154785e-10,-9.030899869919436,False
alfworld,rank,deepseek,ID,2,top2,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,2,top2,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,2,top2,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,2,top2,150,150,144,0.96,1.044627623656045e-35,-34.98103849406214,False
alfworld,rank,deepseek,ID,2,top2,200,193,186,0.9637305699481865,1.4667649369877275e-46,-45.83363948039589,True
alfworld,rank,deepseek,ID,2,top3,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,2,top3,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,2,top3,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,2,top3,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,2,top3,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,2,top3,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,2,top3,100,100,97,0.97,1.3154334480650894e-25,-24.880931119352685,False
alfworld,rank,deepseek,ID,2,top3,150,150,144,0.96,1.044627623656045e-35,-34.98103849406214,False
alfworld,rank,deepseek,ID,2,top3,200,200,190,0.95,1.4738538021484267e-44,-43.83154559386446,False
alfworld,rank,deepseek,ID,2,top5,5,5,3,0.6,0.5,-0.3010299956639812,False
alfworld,rank,deepseek,ID,2,top5,10,10,8,0.8,0.0546875,-1.2621119296336116,False
alfworld,rank,deepseek,ID,2,top5,20,20,18,0.9,0.00020122528076171875,-3.696317457981931,False
alfworld,rank,deepseek,ID,2,top5,30,30,28,0.9333333333333333,4.33996319770813e-07,-6.362513953229436,False
alfworld,rank,deepseek,ID,2,top5,50,50,48,0.96,1.1333156635373598e-12,-11.945649108813916,False
alfworld,rank,deepseek,ID,2,top5,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,2,top5,100,100,98,0.98,3.9845364322713306e-27,-26.39962219788577,False
alfworld,rank,deepseek,ID,2,top5,150,150,146,0.9733333333333334,1.458954959704385e-38,-37.83595811527158,False
alfworld,rank,deepseek,ID,2,top5,200,200,194,0.97,5.290203632598724e-50,-49.27652761060907,False
alfworld,rank,deepseek,ID,3,full_rank,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,3,full_rank,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,3,full_rank,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,3,full_rank,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,3,full_rank,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,3,full_rank,80,80,79,0.9875,6.700162961679524e-23,-22.173914634239846,False
alfworld,rank,deepseek,ID,3,full_rank,100,100,98,0.98,3.9845364322713306e-27,-26.39962219788577,False
alfworld,rank,deepseek,ID,3,full_rank,150,150,145,0.9666666666666667,4.290936563638017e-37,-36.36744790594405,False
alfworld,rank,deepseek,ID,3,full_rank,200,200,193,0.965,1.47417413997649e-48,-47.83145121148115,False
alfworld,rank,deepseek,ID,3,top10,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,3,top10,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,3,top10,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,3,top10,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,3,top10,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,3,top10,80,80,79,0.9875,6.700162961679524e-23,-22.173914634239846,False
alfworld,rank,deepseek,ID,3,top10,100,100,98,0.98,3.9845364322713306e-27,-26.39962219788577,False
alfworld,rank,deepseek,ID,3,top10,150,150,146,0.9733333333333334,1.458954959704385e-38,-37.83595811527158,False
alfworld,rank,deepseek,ID,3,top10,200,200,194,0.97,5.290203632598724e-50,-49.27652761060907,False
alfworld,rank,deepseek,ID,3,top2,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,3,top2,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,3,top2,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,3,top2,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,3,top2,50,50,47,0.94,1.8541612689659814e-11,-10.731852495015637,False
alfworld,rank,deepseek,ID,3,top2,80,80,74,0.925,2.6983226903366617e-16,-15.568906114615016,False
alfworld,rank,deepseek,ID,3,top2,100,100,93,0.93,1.363071866403019e-20,-19.86548124588252,False
alfworld,rank,deepseek,ID,3,top2,150,150,142,0.9466666666666667,3.8999751695186304e-33,-32.40893815804411,False
alfworld,rank,deepseek,ID,3,top2,200,200,186,0.93,7.932088362755811e-40,-39.10061245643805,False
alfworld,rank,deepseek,ID,3,top3,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,3,top3,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,3,top3,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,3,top3,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,3,top3,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,3,top3,80,80,77,0.9625,7.064205149264112e-20,-19.150936697043786,False
alfworld,rank,deepseek,ID,3,top3,100,100,96,0.96,3.224844447881771e-24,-23.49149122895301,False
alfworld,rank,deepseek,ID,3,top3,150,150,143,0.9533333333333334,2.1651403217203435e-34,-33.664513951978506,False
alfworld,rank,deepseek,ID,3,top3,200,200,192,0.96,3.576236364054487e-47,-46.44657378511879,False
alfworld,rank,deepseek,ID,3,top5,5,5,4,0.8,0.1875,-0.7269987279362623,False
alfworld,rank,deepseek,ID,3,top5,10,10,9,0.9,0.0107421875,-1.968907271481587,False
alfworld,rank,deepseek,ID,3,top5,20,20,19,0.95,2.002716064453125e-05,-4.698380618545705,False
alfworld,rank,deepseek,ID,3,top5,30,30,29,0.9666666666666667,2.8870999813079834e-08,-7.539538176085163,False
alfworld,rank,deepseek,ID,3,top5,50,50,49,0.98,4.529709940470639e-14,-13.343929607101124,False
alfworld,rank,deepseek,ID,3,top5,80,80,78,0.975,2.6808923652843627e-21,-20.571720622086286,False
alfworld,rank,deepseek,ID,3,top5,100,100,98,0.98,3.9845364322713306e-27,-26.39962219788577,False
alfworld,rank,deepseek,ID,3,top5,150,150,145,0.9666666666666667,4.290936563638017e-37,-36.36744790594405,False
alfworld,rank,deepseek,ID,3,top5,200,200,193,0.965,1.47417413997649e-48,-47.83145121148115,False
