dataset,method,model,split,run,tasks,decode_ok_tasks,recovery_rate,dedup_packet_mean,conflict_mean,meta_sources,failure_reasons
toolbench,agentmark,gemini-flash,G3_instruction,1,20,0,0.0,2.15,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""rank_deficient"": 2}"
toolbench,agentmark,gemini-flash,G3_instruction,2,20,1,0.05,3.05,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 1, ""rank_deficient"": 1}"
toolbench,agentmark,gemini-flash,G3_instruction,3,20,2,0.1,2.95,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 16, ""ok"": 2, ""rank_deficient"": 2}"
toolbench,rank,deepseek,G1_category,1,20,0,0.0,0.8,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G1_category,2,20,2,0.1,1.8,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,rank,deepseek,G1_category,3,20,1,0.05,0.9,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,deepseek,G1_instruction,1,20,1,0.05,2.55,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,deepseek,G1_instruction,2,20,0,0.0,2.4,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G1_instruction,3,20,1,0.05,1.85,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,deepseek,G1_tool,1,20,1,0.05,2.05,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,deepseek,G1_tool,2,20,0,0.0,2,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G1_tool,3,20,0,0.0,1.55,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G2_category,1,20,0,0.0,1.85,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G2_category,2,20,2,0.1,2.6,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 18, ""ok"": 2}"
toolbench,rank,deepseek,G2_category,3,20,0,0.0,2.2,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G2_instruction,1,20,0,0.0,1.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G2_instruction,2,20,0,0.0,0.6,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,deepseek,G2_instruction,3,20,0,0.0,2.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,deepseek,G3_instruction,1,20,1,0.05,2.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,deepseek,G3_instruction,2,20,0,0.0,1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,deepseek,G3_instruction,3,20,1,0.05,1.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,gemini-flash,G1_category,1,20,1,0.05,1.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,gemini-flash,G1_category,2,20,0,0.0,1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,gemini-flash,G1_category,3,20,0,0.0,1.15,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G1_instruction,1,20,0,0.0,1.65,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G1_instruction,2,20,0,0.0,1.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G1_instruction,3,20,0,0.0,1.15,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G1_tool,1,20,1,0.05,1.3,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,gemini-flash,G1_tool,2,20,0,0.0,0.85,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G1_tool,3,20,0,0.0,1.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G2_category,1,20,1,0.05,1.1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,gemini-flash,G2_category,2,20,1,0.05,1.6,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""ok"": 1}"
toolbench,rank,gemini-flash,G2_category,3,20,0,0.0,1.15,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G2_instruction,1,20,0,0.0,0.8,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G2_instruction,2,20,0,0.0,1.35,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,gemini-flash,G2_instruction,3,20,0,0.0,0.95,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G3_instruction,1,20,0,0.0,1,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
toolbench,rank,gemini-flash,G3_instruction,2,20,0,0.0,1.5,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 19, ""rank_deficient"": 1}"
toolbench,rank,gemini-flash,G3_instruction,3,20,0,0.0,1.35,0,"{""rlnc_meta"": 20}","{""insufficient_packets"": 20}"
