model,split,topk,noise_model,epsilon,trajectories,strict_decode_success_rate,dedup_packet_mean,accepted_steps_mean,c_nom_proxy_bits,c_eff_proxy_bits,observed_accepted_over_cnom,prop2_flip_upper_curve
deepseek,G1_instruction,3,adjacent_swap,0.3,600,0.0,0.766667,0.766667,0.766667,0.0,1.0,0.51
deepseek,G1_instruction,3,adjacent_swap,0.35,600,0.0,0.736667,0.736667,0.736667,0.0,1.0,0.5775
deepseek,G1_instruction,3,adjacent_swap,0.4,600,0.0,0.718333,0.718333,0.718333,0.0,1.0,0.64
deepseek,G1_instruction,3,adjacent_swap,0.45,600,0.0,0.68,0.68,0.68,0.0,1.0,0.6975
deepseek,G1_instruction,3,adjacent_swap,0.5,600,0.0,0.671667,0.671667,0.671667,0.0,1.0,0.75
deepseek,G1_instruction,5,adjacent_swap,0.0,600,0.0,1.633333,1.416667,1.633333,0.0,0.867347,0.0
deepseek,G1_instruction,5,adjacent_swap,0.05,600,0.0,1.573333,1.37,1.573333,0.0,0.870763,0.142625
deepseek,G1_instruction,5,adjacent_swap,0.1,600,0.0,1.448333,1.271667,1.448333,0.0,0.878021,0.271
deepseek,G1_instruction,5,adjacent_swap,0.15,600,0.0,1.41,1.24,1.41,0.0,0.879433,0.385875
deepseek,G1_instruction,5,adjacent_swap,0.2,600,0.0,1.293333,1.145,1.293333,0.0,0.88531,0.488
deepseek,G1_instruction,5,adjacent_swap,0.25,600,0.0,1.208333,1.083333,1.208333,0.0,0.896552,0.578125
deepseek,G1_instruction,5,adjacent_swap,0.3,600,0.0,1.176667,1.046667,1.176667,0.0,0.889518,0.657
deepseek,G1_instruction,5,adjacent_swap,0.35,600,0.0,1.091667,0.975,1.091667,0.0,0.893129,0.725375
deepseek,G1_instruction,5,adjacent_swap,0.4,600,0.0,1.016667,0.926667,1.016667,0.0,0.911475,0.784
deepseek,G1_instruction,5,adjacent_swap,0.45,600,0.0,1.003333,0.906667,1.003333,0.0,0.903655,0.833625
deepseek,G1_instruction,5,adjacent_swap,0.5,600,0.0,0.961667,0.861667,0.961667,0.0,0.896014,0.875
deepseek,G1_instruction,10,adjacent_swap,0.0,600,0.016667,2.266667,1.7,2.266667,0.037779,0.75,0.0
deepseek,G1_instruction,10,adjacent_swap,0.05,600,0.015,2.116667,1.595,2.116667,0.03175,0.753543,0.185494
deepseek,G1_instruction,10,adjacent_swap,0.1,600,0.011667,1.986667,1.506667,1.986667,0.023178,0.758389,0.3439
deepseek,G1_instruction,10,adjacent_swap,0.15,600,0.011667,1.87,1.421667,1.87,0.021817,0.76025,0.477994
deepseek,G1_instruction,10,adjacent_swap,0.2,600,0.008333,1.776667,1.36,1.776667,0.014805,0.765478,0.5904
deepseek,G1_instruction,10,adjacent_swap,0.25,600,0.008333,1.705,1.308333,1.705,0.014208,0.767351,0.683594
deepseek,G1_instruction,10,adjacent_swap,0.3,600,0.001667,1.561667,1.198333,1.561667,0.002603,0.767342,0.7599
deepseek,G1_instruction,10,adjacent_swap,0.35,600,0.001667,1.431667,1.12,1.431667,0.002387,0.782305,0.821494
deepseek,G1_instruction,10,adjacent_swap,0.4,600,0.0,1.263333,0.991667,1.263333,0.0,0.784961,0.8704
deepseek,G1_instruction,10,adjacent_swap,0.45,600,0.001667,1.266667,0.983333,1.266667,0.002112,0.776315,0.908494
deepseek,G1_instruction,10,adjacent_swap,0.5,600,0.003333,1.288333,0.985,1.288333,0.004294,0.764554,0.9375
deepseek,G1_instruction,3,kendall_tau,0.0,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.0
deepseek,G1_instruction,3,kendall_tau,0.05,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.0975
deepseek,G1_instruction,3,kendall_tau,0.1,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.19
deepseek,G1_instruction,3,kendall_tau,0.15,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.2775
deepseek,G1_instruction,3,kendall_tau,0.2,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.36
deepseek,G1_instruction,3,kendall_tau,0.25,600,0.0,0.933333,0.933333,0.933333,0.0,1.0,0.4375
deepseek,G1_instruction,3,kendall_tau,0.3,600,0.0,0.725,0.725,0.725,0.0,1.0,0.51
deepseek,G1_instruction,3,kendall_tau,0.35,600,0.0,0.73,0.73,0.73,0.0,1.0,0.5775
deepseek,G1_instruction,3,kendall_tau,0.4,600,0.0,0.706667,0.706667,0.706667,0.0,1.0,0.64
deepseek,G1_instruction,3,kendall_tau,0.45,600,0.0,0.733333,0.733333,0.733333,0.0,1.0,0.6975
deepseek,G1_instruction,3,kendall_tau,0.5,600,0.0,0.683333,0.683333,0.683333,0.0,1.0,0.75
deepseek,G1_instruction,5,kendall_tau,0.0,600,0.0,1.633333,1.416667,1.633333,0.0,0.867347,0.0
deepseek,G1_instruction,5,kendall_tau,0.05,600,0.0,1.633333,1.416667,1.633333,0.0,0.867347,0.142625
deepseek,G1_instruction,5,kendall_tau,0.1,600,0.0,1.633333,1.416667,1.633333,0.0,0.867347,0.271
deepseek,G1_instruction,5,kendall_tau,0.15,600,0.0,1.27,1.158333,1.27,0.0,0.912073,0.385875
deepseek,G1_instruction,5,kendall_tau,0.2,600,0.0,1.233333,1.103333,1.233333,0.0,0.894595,0.488
deepseek,G1_instruction,5,kendall_tau,0.25,600,0.0,1.186667,1.078333,1.186667,0.0,0.908707,0.578125
deepseek,G1_instruction,5,kendall_tau,0.3,600,0.0,1.131667,1.011667,1.131667,0.0,0.893962,0.657
deepseek,G1_instruction,5,kendall_tau,0.35,600,0.0,1.108333,1.005,1.108333,0.0,0.906767,0.725375
deepseek,G1_instruction,5,kendall_tau,0.4,600,0.0,1.048333,0.956667,1.048333,0.0,0.91256,0.784
deepseek,G1_instruction,5,kendall_tau,0.45,600,0.0,1.015,0.94,1.015,0.0,0.926108,0.833625
deepseek,G1_instruction,5,kendall_tau,0.5,600,0.0,1.043333,0.941667,1.043333,0.0,0.902557,0.875
deepseek,G1_instruction,10,kendall_tau,0.0,600,0.016667,2.266667,1.7,2.266667,0.037779,0.75,0.0
deepseek,G1_instruction,10,kendall_tau,0.05,600,0.016667,2.266667,1.7,2.266667,0.037779,0.75,0.185494
deepseek,G1_instruction,10,kendall_tau,0.1,600,0.013333,2.041667,1.558333,2.041667,0.027222,0.763265,0.3439
deepseek,G1_instruction,10,kendall_tau,0.15,600,0.01,1.876667,1.43,1.876667,0.018767,0.761989,0.477994
deepseek,G1_instruction,10,kendall_tau,0.2,600,0.008333,1.701667,1.326667,1.701667,0.01418,0.779628,0.5904
deepseek,G1_instruction,10,kendall_tau,0.25,600,0.003333,1.62,1.261667,1.62,0.005399,0.778807,0.683594
deepseek,G1_instruction,10,kendall_tau,0.3,600,0.001667,1.586667,1.203333,1.586667,0.002645,0.758403,0.7599
deepseek,G1_instruction,10,kendall_tau,0.35,600,0.0,1.456667,1.143333,1.456667,0.0,0.784897,0.821494
deepseek,G1_instruction,10,kendall_tau,0.4,600,0.001667,1.441667,1.121667,1.441667,0.002403,0.778035,0.8704
deepseek,G1_instruction,10,kendall_tau,0.45,600,0.0,1.376667,1.08,1.376667,0.0,0.784503,0.908494
deepseek,G1_instruction,10,kendall_tau,0.5,600,0.0,1.365,1.076667,1.365,0.0,0.788767,0.9375
deepseek,G1_tool,3,adjacent_swap,0.0,600,0.0,0.95,0.95,0.95,0.0,1.0,0.0
deepseek,G1_tool,3,adjacent_swap,0.05,600,0.0,0.92,0.92,0.92,0.0,1.0,0.0975
deepseek,G1_tool,3,adjacent_swap,0.1,600,0.0,0.911667,0.911667,0.911667,0.0,1.0,0.19
deepseek,G1_tool,3,adjacent_swap,0.15,600,0.0,0.863333,0.863333,0.863333,0.0,1.0,0.2775
deepseek,G1_tool,3,adjacent_swap,0.2,600,0.0,0.845,0.845,0.845,0.0,1.0,0.36
deepseek,G1_tool,3,adjacent_swap,0.25,600,0.0,0.791667,0.791667,0.791667,0.0,1.0,0.4375
deepseek,G1_tool,3,adjacent_swap,0.3,600,0.0,0.776667,0.776667,0.776667,0.0,1.0,0.51
deepseek,G1_tool,3,adjacent_swap,0.35,600,0.0,0.766667,0.766667,0.766667,0.0,1.0,0.5775
deepseek,G1_tool,3,adjacent_swap,0.4,600,0.0,0.69,0.69,0.69,0.0,1.0,0.64
deepseek,G1_tool,3,adjacent_swap,0.45,600,0.0,0.681667,0.681667,0.681667,0.0,1.0,0.6975
deepseek,G1_tool,3,adjacent_swap,0.5,600,0.0,0.641667,0.641667,0.641667,0.0,1.0,0.75
deepseek,G1_tool,5,adjacent_swap,0.0,600,0.0,1.283333,1.183333,1.283333,0.0,0.922078,0.0
deepseek,G1_tool,5,adjacent_swap,0.05,600,0.0,1.221667,1.131667,1.221667,0.0,0.92633,0.142625
deepseek,G1_tool,5,adjacent_swap,0.1,600,0.0,1.135,1.053333,1.135,0.0,0.928047,0.271
deepseek,G1_tool,5,adjacent_swap,0.15,600,0.0,1.093333,1.015,1.093333,0.0,0.928354,0.385875
deepseek,G1_tool,5,adjacent_swap,0.2,600,0.0,1.051667,0.971667,1.051667,0.0,0.92393,0.488
deepseek,G1_tool,5,adjacent_swap,0.25,600,0.0,0.98,0.905,0.98,0.0,0.923469,0.578125
deepseek,G1_tool,5,adjacent_swap,0.3,600,0.0,0.98,0.91,0.98,0.0,0.928571,0.657
deepseek,G1_tool,5,adjacent_swap,0.35,600,0.0,0.925,0.855,0.925,0.0,0.924324,0.725375
deepseek,G1_tool,5,adjacent_swap,0.4,600,0.0,0.833333,0.776667,0.833333,0.0,0.932001,0.784
deepseek,G1_tool,5,adjacent_swap,0.45,600,0.0,0.765,0.711667,0.765,0.0,0.930284,0.833625
deepseek,G1_tool,5,adjacent_swap,0.5,600,0.0,0.713333,0.67,0.713333,0.0,0.939253,0.875
deepseek,G1_tool,10,adjacent_swap,0.0,600,0.016667,1.866667,1.533333,1.866667,0.031112,0.821428,0.0
deepseek,G1_tool,10,adjacent_swap,0.05,600,0.015,1.753333,1.44,1.753333,0.0263,0.821293,0.185494
deepseek,G1_tool,10,adjacent_swap,0.1,600,0.013333,1.625,1.35,1.625,0.021666,0.830769,0.3439
deepseek,G1_tool,10,adjacent_swap,0.15,600,0.006667,1.541667,1.286667,1.541667,0.010278,0.834595,0.477994
deepseek,G1_tool,10,adjacent_swap,0.2,600,0.008333,1.446667,1.193333,1.446667,0.012055,0.824884,0.5904
deepseek,G1_tool,10,adjacent_swap,0.25,600,0.006667,1.36,1.12,1.36,0.009067,0.823529,0.683594
deepseek,G1_tool,10,adjacent_swap,0.3,600,0.006667,1.263333,1.058333,1.263333,0.008423,0.837731,0.7599
deepseek,G1_tool,10,adjacent_swap,0.35,600,0.001667,1.211667,1.013333,1.211667,0.00202,0.836313,0.821494
deepseek,G1_tool,10,adjacent_swap,0.4,600,0.0,1.15,0.943333,1.15,0.0,0.82029,0.8704
deepseek,G1_tool,10,adjacent_swap,0.45,600,0.001667,1.041667,0.863333,1.041667,0.001736,0.828799,0.908494
deepseek,G1_tool,10,adjacent_swap,0.5,600,0.0,0.983333,0.818333,0.983333,0.0,0.832203,0.9375
deepseek,G1_tool,3,kendall_tau,0.0,600,0.0,0.95,0.95,0.95,0.0,1.0,0.0
deepseek,G1_tool,3,kendall_tau,0.05,600,0.0,0.95,0.95,0.95,0.0,1.0,0.0975
deepseek,G1_tool,3,kendall_tau,0.1,600,0.0,0.95,0.95,0.95,0.0,1.0,0.19
deepseek,G1_tool,3,kendall_tau,0.15,600,0.0,0.95,0.95,0.95,0.0,1.0,0.2775
deepseek,G1_tool,3,kendall_tau,0.2,600,0.0,0.95,0.95,0.95,0.0,1.0,0.36
deepseek,G1_tool,3,kendall_tau,0.25,600,0.0,0.95,0.95,0.95,0.0,1.0,0.4375
deepseek,G1_tool,3,kendall_tau,0.3,600,0.0,0.753333,0.753333,0.753333,0.0,1.0,0.51
deepseek,G1_tool,3,kendall_tau,0.35,600,0.0,0.733333,0.733333,0.733333,0.0,1.0,0.5775
deepseek,G1_tool,3,kendall_tau,0.4,600,0.0,0.718333,0.718333,0.718333,0.0,1.0,0.64
deepseek,G1_tool,3,kendall_tau,0.45,600,0.0,0.73,0.73,0.73,0.0,1.0,0.6975
deepseek,G1_tool,3,kendall_tau,0.5,600,0.0,0.74,0.74,0.74,0.0,1.0,0.75
deepseek,G1_tool,5,kendall_tau,0.0,600,0.0,1.283333,1.183333,1.283333,0.0,0.922078,0.0
deepseek,G1_tool,5,kendall_tau,0.05,600,0.0,1.283333,1.183333,1.283333,0.0,0.922078,0.142625
deepseek,G1_tool,5,kendall_tau,0.1,600,0.0,1.283333,1.183333,1.283333,0.0,0.922078,0.271
deepseek,G1_tool,5,kendall_tau,0.15,600,0.0,1.1,1.015,1.1,0.0,0.922727,0.385875
deepseek,G1_tool,5,kendall_tau,0.2,600,0.0,1.005,0.938333,1.005,0.0,0.933665,0.488
deepseek,G1_tool,5,kendall_tau,0.25,600,0.0,1.021667,0.958333,1.021667,0.0,0.938009,0.578125
deepseek,G1_tool,5,kendall_tau,0.3,600,0.0,0.95,0.896667,0.95,0.0,0.94386,0.657
deepseek,G1_tool,5,kendall_tau,0.35,600,0.0,0.935,0.885,0.935,0.0,0.946524,0.725375
deepseek,G1_tool,5,kendall_tau,0.4,600,0.0,0.868333,0.816667,0.868333,0.0,0.9405,0.784
deepseek,G1_tool,5,kendall_tau,0.45,600,0.0,0.876667,0.826667,0.876667,0.0,0.942966,0.833625
deepseek,G1_tool,5,kendall_tau,0.5,600,0.0,0.83,0.791667,0.83,0.0,0.953816,0.875
deepseek,G1_tool,10,kendall_tau,0.0,600,0.016667,1.866667,1.533333,1.866667,0.031112,0.821428,0.0
deepseek,G1_tool,10,kendall_tau,0.05,600,0.016667,1.866667,1.533333,1.866667,0.031112,0.821428,0.185494
deepseek,G1_tool,10,kendall_tau,0.1,600,0.015,1.735,1.436667,1.735,0.026025,0.82805,0.3439
deepseek,G1_tool,10,kendall_tau,0.15,600,0.013333,1.665,1.38,1.665,0.022199,0.828829,0.477994
deepseek,G1_tool,10,kendall_tau,0.2,600,0.003333,1.445,1.203333,1.445,0.004816,0.832756,0.5904
deepseek,G1_tool,10,kendall_tau,0.25,600,0.006667,1.448333,1.211667,1.448333,0.009656,0.836594,0.683594
deepseek,G1_tool,10,kendall_tau,0.3,600,0.003333,1.235,1.038333,1.235,0.004116,0.840755,0.7599
deepseek,G1_tool,10,kendall_tau,0.35,600,0.001667,1.313333,1.076667,1.313333,0.002189,0.819797,0.821494
deepseek,G1_tool,10,kendall_tau,0.4,600,0.003333,1.17,0.978333,1.17,0.0039,0.836182,0.8704
deepseek,G1_tool,10,kendall_tau,0.45,600,0.005,1.203333,0.996667,1.203333,0.006017,0.828255,0.908494
deepseek,G1_tool,10,kendall_tau,0.5,600,0.003333,1.198333,1.005,1.198333,0.003994,0.838665,0.9375
deepseek,G2_category,3,adjacent_swap,0.0,600,0.0,0.7,0.7,0.7,0.0,1.0,0.0
deepseek,G2_category,3,adjacent_swap,0.05,600,0.0,0.668333,0.668333,0.668333,0.0,1.0,0.0975
deepseek,G2_category,3,adjacent_swap,0.1,600,0.0,0.66,0.66,0.66,0.0,1.0,0.19
deepseek,G2_category,3,adjacent_swap,0.15,600,0.0,0.63,0.63,0.63,0.0,1.0,0.2775
deepseek,G2_category,3,adjacent_swap,0.2,600,0.0,0.616667,0.616667,0.616667,0.0,1.0,0.36
deepseek,G2_category,3,adjacent_swap,0.25,600,0.0,0.593333,0.593333,0.593333,0.0,1.0,0.4375
deepseek,G2_category,3,adjacent_swap,0.3,600,0.0,0.563333,0.563333,0.563333,0.0,1.0,0.51
deepseek,G2_category,3,adjacent_swap,0.35,600,0.0,0.528333,0.528333,0.528333,0.0,1.0,0.5775
deepseek,G2_category,3,adjacent_swap,0.4,600,0.0,0.54,0.54,0.54,0.0,1.0,0.64
deepseek,G2_category,3,adjacent_swap,0.45,600,0.0,0.506667,0.506667,0.506667,0.0,1.0,0.6975
deepseek,G2_category,3,adjacent_swap,0.5,600,0.0,0.475,0.475,0.475,0.0,1.0,0.75
deepseek,G2_category,5,adjacent_swap,0.0,600,0.0,1.35,1.133333,1.35,0.0,0.839506,0.0
deepseek,G2_category,5,adjacent_swap,0.05,600,0.0,1.268333,1.068333,1.268333,0.0,0.842313,0.142625
deepseek,G2_category,5,adjacent_swap,0.1,600,0.0,1.166667,0.991667,1.166667,0.0,0.85,0.271
deepseek,G2_category,5,adjacent_swap,0.15,600,0.0,1.101667,0.941667,1.101667,0.0,0.854766,0.385875
deepseek,G2_category,5,adjacent_swap,0.2,600,0.0,1.058333,0.905,1.058333,0.0,0.855118,0.488
deepseek,G2_category,5,adjacent_swap,0.25,600,0.0,0.98,0.865,0.98,0.0,0.882653,0.578125
deepseek,G2_category,5,adjacent_swap,0.3,600,0.0,0.921667,0.8,0.921667,0.0,0.867992,0.657
deepseek,G2_category,5,adjacent_swap,0.35,600,0.0,0.851667,0.755,0.851667,0.0,0.886497,0.725375
deepseek,G2_category,5,adjacent_swap,0.4,600,0.0,0.76,0.67,0.76,0.0,0.881579,0.784
deepseek,G2_category,5,adjacent_swap,0.45,600,0.0,0.728333,0.658333,0.728333,0.0,0.90389,0.833625
deepseek,G2_category,5,adjacent_swap,0.5,600,0.0,0.69,0.605,0.69,0.0,0.876812,0.875
deepseek,G2_category,10,adjacent_swap,0.0,600,0.0,2.1,1.516667,2.1,0.0,0.722222,0.0
deepseek,G2_category,10,adjacent_swap,0.05,600,0.0,1.983333,1.44,1.983333,0.0,0.726051,0.185494
deepseek,G2_category,10,adjacent_swap,0.1,600,0.0,1.828333,1.321667,1.828333,0.0,0.722881,0.3439
deepseek,G2_category,10,adjacent_swap,0.15,600,0.0,1.788333,1.291667,1.788333,0.0,0.722274,0.477994
deepseek,G2_category,10,adjacent_swap,0.2,600,0.0,1.661667,1.2,1.661667,0.0,0.722166,0.5904
deepseek,G2_category,10,adjacent_swap,0.25,600,0.0,1.515,1.11,1.515,0.0,0.732673,0.683594
deepseek,G2_category,10,adjacent_swap,0.3,600,0.0,1.456667,1.06,1.456667,0.0,0.727689,0.7599
deepseek,G2_category,10,adjacent_swap,0.35,600,0.0,1.388333,0.998333,1.388333,0.0,0.719088,0.821494
deepseek,G2_category,10,adjacent_swap,0.4,600,0.0,1.3,0.925,1.3,0.0,0.711538,0.8704
deepseek,G2_category,10,adjacent_swap,0.45,600,0.0,1.228333,0.883333,1.228333,0.0,0.719132,0.908494
deepseek,G2_category,10,adjacent_swap,0.5,600,0.0,1.166667,0.838333,1.166667,0.0,0.718571,0.9375
deepseek,G2_category,3,kendall_tau,0.0,600,0.0,0.7,0.7,0.7,0.0,1.0,0.0
deepseek,G2_category,3,kendall_tau,0.05,600,0.0,0.7,0.7,0.7,0.0,1.0,0.0975
deepseek,G2_category,3,kendall_tau,0.1,600,0.0,0.7,0.7,0.7,0.0,1.0,0.19
deepseek,G2_category,3,kendall_tau,0.15,600,0.0,0.7,0.7,0.7,0.0,1.0,0.2775
deepseek,G2_category,3,kendall_tau,0.2,600,0.0,0.7,0.7,0.7,0.0,1.0,0.36
deepseek,G2_category,3,kendall_tau,0.25,600,0.0,0.7,0.7,0.7,0.0,1.0,0.4375
deepseek,G2_category,3,kendall_tau,0.3,600,0.0,0.515,0.515,0.515,0.0,1.0,0.51
