dataset,model,split,run,task_id,step_index,topk,candidate_count,selected_in_topk,exact_bin_size,topk_bin_size,rank_stable_bin_changed,rank_stable_bit_changed,exact_bits_len,topk_bits_len
alfworld,deepseek,ID,1,001,5,4,7,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,001,5,2,7,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,001,7,10,7,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,001,7,8,7,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,001,7,6,7,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,001,7,4,7,1,6,4,1,1,2,2
alfworld,deepseek,ID,1,001,7,2,7,0,6,0,0,0,2,0
alfworld,deepseek,ID,1,001,8,10,8,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,001,8,8,8,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,001,8,6,8,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,001,8,4,8,1,5,3,1,1,2,2
alfworld,deepseek,ID,1,001,8,2,8,1,5,1,1,1,2,0
alfworld,deepseek,ID,1,002,2,10,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,2,8,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,2,6,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,2,4,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,2,2,8,1,4,2,1,1,2,1
alfworld,deepseek,ID,1,002,3,10,7,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,002,3,8,7,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,002,3,6,7,1,7,6,1,0,3,3
alfworld,deepseek,ID,1,002,3,4,7,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,002,3,2,7,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,002,4,10,11,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,4,8,11,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,4,6,11,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,4,4,11,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,4,2,11,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,6,10,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,6,8,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,6,6,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,6,4,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,6,2,7,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,002,7,10,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,7,8,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,7,6,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,7,4,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,002,7,2,8,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,002,8,10,6,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,8,8,6,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,8,6,6,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,002,8,4,6,1,4,3,1,1,2,2
alfworld,deepseek,ID,1,002,8,2,6,1,4,2,1,1,2,1
alfworld,deepseek,ID,1,003,0,10,14,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,003,0,8,14,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,003,0,6,14,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,003,0,4,14,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,003,0,2,14,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,003,1,10,14,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,003,1,8,14,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,003,1,6,14,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,003,1,4,14,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,003,1,2,14,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,003,2,10,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,003,2,8,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,003,2,6,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,003,2,4,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,003,2,2,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,003,3,10,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,3,8,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,3,6,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,3,4,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,3,2,8,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,003,4,10,12,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,4,8,12,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,4,6,12,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,003,4,4,12,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,003,4,2,12,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,003,5,10,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,5,8,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,5,6,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,5,4,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,5,2,11,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,003,7,10,13,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,7,8,13,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,7,6,13,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,7,4,13,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,7,2,13,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,003,9,10,9,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,9,8,9,1,3,2,1,1,2,0
alfworld,deepseek,ID,1,003,9,6,9,1,3,2,1,1,2,0
alfworld,deepseek,ID,1,003,9,4,9,1,3,2,1,1,2,0
alfworld,deepseek,ID,1,003,9,2,9,0,3,0,0,0,2,0
alfworld,deepseek,ID,1,003,10,10,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,10,8,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,10,6,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,10,4,13,1,3,2,1,1,2,0
alfworld,deepseek,ID,1,003,10,2,13,0,3,0,0,0,2,0
alfworld,deepseek,ID,1,003,11,10,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,11,8,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,11,6,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,11,4,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,11,2,7,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,003,12,10,12,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,12,8,12,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,12,6,12,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,12,4,12,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,003,12,2,12,1,3,1,1,1,2,0
alfworld,deepseek,ID,1,003,13,10,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,13,8,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,13,6,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,13,4,7,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,13,2,7,1,4,2,1,1,2,1
alfworld,deepseek,ID,1,003,15,10,15,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,003,15,8,15,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,003,15,6,15,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,003,15,4,15,1,5,4,1,0,2,2
alfworld,deepseek,ID,1,003,15,2,15,0,5,0,0,0,2,0
alfworld,deepseek,ID,1,003,16,10,7,1,7,7,0,0,2,2
alfworld,deepseek,ID,1,003,16,8,7,1,7,7,0,0,2,2
alfworld,deepseek,ID,1,003,16,6,7,0,7,0,0,0,2,0
alfworld,deepseek,ID,1,003,16,4,7,0,7,0,0,0,2,0
alfworld,deepseek,ID,1,003,16,2,7,0,7,0,0,0,2,0
alfworld,deepseek,ID,1,003,18,10,7,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,003,18,8,7,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,003,18,6,7,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,003,18,4,7,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,003,18,2,7,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,003,20,10,4,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,20,8,4,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,20,6,4,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,20,4,4,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,003,20,2,4,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,004,0,10,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,004,0,8,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,004,0,6,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,004,0,4,11,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,004,0,2,11,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,004,2,10,14,1,14,10,1,0,4,4
alfworld,deepseek,ID,1,004,2,8,14,1,14,8,1,1,4,3
alfworld,deepseek,ID,1,004,2,6,14,1,14,6,1,1,4,3
alfworld,deepseek,ID,1,004,2,4,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,004,2,2,14,0,14,0,0,0,4,0
alfworld,deepseek,ID,1,004,3,10,12,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,004,3,8,12,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,004,3,6,12,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,004,3,4,12,1,5,4,1,1,2,2
alfworld,deepseek,ID,1,004,3,2,12,1,5,2,1,1,2,1
alfworld,deepseek,ID,1,004,4,10,8,1,8,8,0,0,3,3
alfworld,deepseek,ID,1,004,4,8,8,1,8,8,0,0,3,3
alfworld,deepseek,ID,1,004,4,6,8,1,8,6,1,1,3,2
alfworld,deepseek,ID,1,004,4,4,8,1,8,4,1,1,3,2
alfworld,deepseek,ID,1,004,4,2,8,0,8,0,0,0,3,0
alfworld,deepseek,ID,1,004,5,10,12,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,004,5,8,12,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,004,5,6,12,1,7,6,1,0,3,3
alfworld,deepseek,ID,1,004,5,4,12,1,7,4,1,1,3,2
alfworld,deepseek,ID,1,004,5,2,12,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,004,6,10,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,6,8,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,6,6,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,6,4,13,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,6,2,13,1,3,2,1,1,2,1
alfworld,deepseek,ID,1,004,7,10,7,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,004,7,8,7,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,004,7,6,7,1,5,4,1,0,2,2
alfworld,deepseek,ID,1,004,7,4,7,1,5,3,1,1,2,1
alfworld,deepseek,ID,1,004,7,2,7,0,5,0,0,0,2,0
alfworld,deepseek,ID,1,004,9,10,11,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,004,9,8,11,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,004,9,6,11,1,6,5,1,1,2,2
alfworld,deepseek,ID,1,004,9,4,11,0,6,0,0,0,2,0
alfworld,deepseek,ID,1,004,9,2,11,0,6,0,0,0,2,0
alfworld,deepseek,ID,1,004,11,10,4,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,004,11,8,4,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,004,11,6,4,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,004,11,4,4,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,004,11,2,4,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,004,12,10,8,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,12,8,8,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,12,6,8,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,12,4,8,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,12,2,8,0,3,0,0,0,2,0
alfworld,deepseek,ID,1,004,13,10,11,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,13,8,11,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,13,6,11,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,004,13,4,11,1,3,2,1,1,2,1
alfworld,deepseek,ID,1,004,13,2,11,1,3,2,1,1,2,1
alfworld,deepseek,ID,1,005,1,10,12,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,005,1,8,12,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,005,1,6,12,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,005,1,4,12,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,005,1,2,12,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,005,2,10,9,1,5,5,0,0,3,3
alfworld,deepseek,ID,1,005,2,8,9,1,5,5,0,0,3,3
alfworld,deepseek,ID,1,005,2,6,9,1,5,5,0,0,3,3
alfworld,deepseek,ID,1,005,2,4,9,0,5,0,0,0,3,0
alfworld,deepseek,ID,1,005,2,2,9,0,5,0,0,0,3,0
alfworld,deepseek,ID,1,005,3,10,9,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,005,3,8,9,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,005,3,6,9,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,005,3,4,9,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,005,3,2,9,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,005,4,10,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,4,8,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,4,6,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,4,4,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,4,2,7,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,005,5,10,10,1,7,7,0,0,2,2
alfworld,deepseek,ID,1,005,5,8,10,1,7,7,0,0,2,2
alfworld,deepseek,ID,1,005,5,6,10,1,7,6,1,0,2,2
alfworld,deepseek,ID,1,005,5,4,10,1,7,4,1,0,2,2
alfworld,deepseek,ID,1,005,5,2,10,0,7,0,0,0,2,0
alfworld,deepseek,ID,1,005,6,10,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,6,8,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,6,6,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,6,4,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,6,2,8,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,8,10,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,005,8,8,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,005,8,6,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,005,8,4,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,005,8,2,8,1,4,2,1,1,2,1
alfworld,deepseek,ID,1,005,12,10,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,12,8,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,12,6,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,12,4,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,12,2,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,15,10,13,1,8,8,0,0,3,3
alfworld,deepseek,ID,1,005,15,8,13,1,8,4,1,1,3,0
alfworld,deepseek,ID,1,005,15,6,13,0,8,0,0,0,3,0
alfworld,deepseek,ID,1,005,15,4,13,0,8,0,0,0,3,0
alfworld,deepseek,ID,1,005,15,2,13,0,8,0,0,0,3,0
alfworld,deepseek,ID,1,005,16,10,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,16,8,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,16,6,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,16,4,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,005,16,2,9,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,005,19,10,13,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,005,19,8,13,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,005,19,6,13,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,005,19,4,13,1,5,4,1,1,2,2
alfworld,deepseek,ID,1,005,19,2,13,1,5,2,1,1,2,1
alfworld,deepseek,ID,1,005,21,10,10,1,10,10,0,0,4,4
alfworld,deepseek,ID,1,005,21,8,10,1,10,1,1,1,4,0
alfworld,deepseek,ID,1,005,21,6,10,1,10,1,1,1,4,0
alfworld,deepseek,ID,1,005,21,4,10,0,10,0,0,0,4,0
alfworld,deepseek,ID,1,005,21,2,10,0,10,0,0,0,4,0
alfworld,deepseek,ID,1,006,0,10,7,1,5,5,0,0,3,3
alfworld,deepseek,ID,1,006,0,8,7,1,5,5,0,0,3,3
alfworld,deepseek,ID,1,006,0,6,7,1,5,5,0,0,3,3
alfworld,deepseek,ID,1,006,0,4,7,1,5,4,1,1,3,2
alfworld,deepseek,ID,1,006,0,2,7,1,5,2,1,1,3,1
alfworld,deepseek,ID,1,006,1,10,8,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,006,1,8,8,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,006,1,6,8,1,7,6,1,0,3,3
alfworld,deepseek,ID,1,006,1,4,8,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,006,1,2,8,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,006,2,10,9,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,006,2,8,9,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,006,2,6,9,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,006,2,4,9,1,5,4,1,0,2,2
alfworld,deepseek,ID,1,006,2,2,9,0,5,0,0,0,2,0
alfworld,deepseek,ID,1,006,3,10,6,1,3,3,0,0,1,1
alfworld,deepseek,ID,1,006,3,8,6,1,3,3,0,0,1,1
alfworld,deepseek,ID,1,006,3,6,6,1,3,3,0,0,1,1
alfworld,deepseek,ID,1,006,3,4,6,1,3,3,0,0,1,1
alfworld,deepseek,ID,1,006,3,2,6,1,3,2,1,0,1,1
alfworld,deepseek,ID,1,006,5,10,10,1,10,10,0,0,3,3
alfworld,deepseek,ID,1,006,5,8,10,1,10,1,1,1,3,0
alfworld,deepseek,ID,1,006,5,6,10,1,10,1,1,1,3,0
alfworld,deepseek,ID,1,006,5,4,10,1,10,1,1,1,3,0
alfworld,deepseek,ID,1,006,5,2,10,1,10,1,1,1,3,0
alfworld,deepseek,ID,1,007,0,10,17,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,007,0,8,17,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,007,0,6,17,1,4,2,1,1,2,0
alfworld,deepseek,ID,1,007,0,4,17,1,4,2,1,1,2,0
alfworld,deepseek,ID,1,007,0,2,17,0,4,0,0,0,2,0
alfworld,deepseek,ID,1,007,2,10,18,1,18,10,1,1,4,3
alfworld,deepseek,ID,1,007,2,8,18,1,18,8,1,1,4,3
alfworld,deepseek,ID,1,007,2,6,18,0,18,0,0,0,4,0
alfworld,deepseek,ID,1,007,2,4,18,0,18,0,0,0,4,0
alfworld,deepseek,ID,1,007,2,2,18,0,18,0,0,0,4,0
alfworld,deepseek,ID,1,007,4,10,8,1,8,8,0,0,3,3
alfworld,deepseek,ID,1,007,4,8,8,1,8,8,0,0,3,3
alfworld,deepseek,ID,1,007,4,6,8,1,8,4,1,1,3,2
alfworld,deepseek,ID,1,007,4,4,8,1,8,4,1,1,3,2
alfworld,deepseek,ID,1,007,4,2,8,1,8,2,1,1,3,1
alfworld,deepseek,ID,1,007,5,10,10,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,007,5,8,10,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,007,5,6,10,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,007,5,4,10,1,6,4,1,0,2,2
alfworld,deepseek,ID,1,007,5,2,10,0,6,0,0,0,2,0
alfworld,deepseek,ID,1,007,6,10,5,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,007,6,8,5,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,007,6,6,5,1,5,5,0,0,2,2
alfworld,deepseek,ID,1,007,6,4,5,0,5,0,0,0,2,0
alfworld,deepseek,ID,1,007,6,2,5,0,5,0,0,0,2,0
alfworld,deepseek,ID,1,007,7,10,9,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,007,7,8,9,1,7,7,0,0,3,3
alfworld,deepseek,ID,1,007,7,6,9,1,7,5,1,1,3,0
alfworld,deepseek,ID,1,007,7,4,9,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,007,7,2,9,0,7,0,0,0,3,0
alfworld,deepseek,ID,1,007,8,10,8,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,007,8,8,8,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,007,8,6,8,1,6,6,0,0,2,2
alfworld,deepseek,ID,1,007,8,4,8,1,6,4,1,1,2,2
alfworld,deepseek,ID,1,007,8,2,8,0,6,0,0,0,2,0
alfworld,deepseek,ID,1,007,9,10,9,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,007,9,8,9,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,007,9,6,9,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,007,9,4,9,1,3,3,0,0,2,2
alfworld,deepseek,ID,1,007,9,2,9,1,3,2,1,1,2,1
alfworld,deepseek,ID,1,009,0,10,12,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,0,8,12,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,0,6,12,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,0,4,12,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,0,2,12,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,009,1,10,13,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,009,1,8,13,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,009,1,6,13,1,6,6,0,0,3,3
alfworld,deepseek,ID,1,009,1,4,13,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,009,1,2,13,0,6,0,0,0,3,0
alfworld,deepseek,ID,1,009,2,10,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,2,8,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,2,6,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,2,4,7,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,2,2,7,1,2,1,1,1,1,0
alfworld,deepseek,ID,1,009,5,10,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,5,8,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,5,6,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,5,4,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,009,5,2,10,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,0,10,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,0,8,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,0,6,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,0,4,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,0,2,9,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,1,10,2,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,1,8,2,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,1,6,2,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,1,4,2,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,1,2,2,1,2,2,0,0,1,1
alfworld,deepseek,ID,1,010,2,10,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,010,2,8,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,010,2,6,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,010,2,4,8,1,4,4,0,0,2,2
alfworld,deepseek,ID,1,010,2,2,8,1,4,2,1,1,2,1
alfworld,deepseek,ID,1,010,3,10,18,1,18,10,1,1,4,3
alfworld,deepseek,ID,1,010,3,8,18,1,18,8,1,1,4,3
alfworld,deepseek,ID,1,010,3,6,18,1,18,6,1,1,4,2
alfworld,deepseek,ID,1,010,3,4,18,0,18,0,0,0,4,0
alfworld,deepseek,ID,1,010,3,2,18,0,18,0,0,0,4,0
alfworld,deepseek,ID,1,010,4,10,10,1,10,10,0,0,3,3
alfworld,deepseek,ID,1,010,4,8,10,1,10,8,1,1,3,3
alfworld,deepseek,ID,1,010,4,6,10,1,10,6,1,1,3,3
