dataset,method,model,split,baseline,jsd,actions,runs
toolbench,rank,gemini-flash,G2_instruction,vanilla,0.13125516,156,3
toolbench,rank,gemini-flash,G3_instruction,clean,0.03804606,178,3
toolbench,rank,gemini-flash,G3_instruction,vanilla,0.05146343,178,3
toolbench,rg,deepseek,G1_category,clean,0.11269708,149,3
toolbench,rg,deepseek,G1_category,vanilla,0.18698771,149,3
toolbench,rg,deepseek,G1_instruction,clean,0.20588118,195,3
toolbench,rg,deepseek,G1_instruction,vanilla,0.20752281,195,3
toolbench,rg,deepseek,G1_tool,clean,0.31294155,153,3
toolbench,rg,deepseek,G1_tool,vanilla,0.2269919,153,3
toolbench,rg,deepseek,G2_category,clean,0.18241494,183,3
toolbench,rg,deepseek,G2_category,vanilla,0.1615663,183,3
toolbench,rg,deepseek,G2_instruction,clean,0.20614778,175,3
toolbench,rg,deepseek,G2_instruction,vanilla,0.17223879,175,3
toolbench,rg,deepseek,G3_instruction,clean,0.09112502,187,3
toolbench,rg,deepseek,G3_instruction,vanilla,0.12248043,187,3
toolbench,rg,gemini-flash,G1_category,clean,0.13785197,170,3
toolbench,rg,gemini-flash,G1_category,vanilla,0.15086127,170,3
toolbench,rg,gemini-flash,G1_instruction,clean,0.21621962,159,3
toolbench,rg,gemini-flash,G1_instruction,vanilla,0.22200631,159,3
toolbench,rg,gemini-flash,G1_tool,clean,0.27147276,190,3
toolbench,rg,gemini-flash,G1_tool,vanilla,0.28172531,190,3
toolbench,rg,gemini-flash,G2_category,clean,0.1296194,173,3
toolbench,rg,gemini-flash,G2_category,vanilla,0.13614973,173,3
toolbench,rg,gemini-flash,G2_instruction,clean,0.20174684,157,3
toolbench,rg,gemini-flash,G2_instruction,vanilla,0.19226146,157,3
toolbench,rg,gemini-flash,G3_instruction,clean,0.10435632,189,3
toolbench,rg,gemini-flash,G3_instruction,vanilla,0.0664152,189,3
toolbench,vanilla,deepseek,G1_category,clean,0.16382369,128,3
toolbench,vanilla,deepseek,G1_instruction,clean,0.2595881,166,3
toolbench,vanilla,deepseek,G1_tool,clean,0.23230952,138,3
toolbench,vanilla,deepseek,G2_category,clean,0.19779994,163,3
toolbench,vanilla,deepseek,G2_instruction,clean,0.20784192,153,3
toolbench,vanilla,deepseek,G3_instruction,clean,0.0804317,146,3
toolbench,vanilla,gemini-flash,G1_category,clean,0.10974336,140,3
toolbench,vanilla,gemini-flash,G1_instruction,clean,0.21315833,174,3
toolbench,vanilla,gemini-flash,G1_tool,clean,0.15981288,139,3
toolbench,vanilla,gemini-flash,G2_category,clean,0.10438749,159,3
toolbench,vanilla,gemini-flash,G2_instruction,clean,0.14840924,147,3
toolbench,vanilla,gemini-flash,G3_instruction,clean,0.07157196,167,3
