direction,direction_label,topk,pool_size,success_mean,dedup_mean,conflicts_mean
deepseek->gemini-flash,DeepSeek -> Gemini,4,50,0.190,14.580,8.430
deepseek->gemini-flash,DeepSeek -> Gemini,4,75,0.195,15.735,11.640
deepseek->gemini-flash,DeepSeek -> Gemini,4,100,0.000,17.000,14.000
deepseek->gemini-flash,DeepSeek -> Gemini,5,1,0.015,1.570,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,5,2,0.020,3.080,0.050
deepseek->gemini-flash,DeepSeek -> Gemini,5,3,0.050,3.965,0.205
deepseek->gemini-flash,DeepSeek -> Gemini,5,5,0.075,5.620,0.570
deepseek->gemini-flash,DeepSeek -> Gemini,5,8,0.130,7.765,1.080
deepseek->gemini-flash,DeepSeek -> Gemini,5,10,0.190,8.470,1.475
deepseek->gemini-flash,DeepSeek -> Gemini,5,15,0.260,10.595,2.375
deepseek->gemini-flash,DeepSeek -> Gemini,5,20,0.350,13.435,3.325
deepseek->gemini-flash,DeepSeek -> Gemini,5,30,0.300,14.855,4.880
deepseek->gemini-flash,DeepSeek -> Gemini,5,40,0.345,16.805,6.255
deepseek->gemini-flash,DeepSeek -> Gemini,5,50,0.300,18.030,7.220
deepseek->gemini-flash,DeepSeek -> Gemini,5,75,0.280,21.965,9.620
deepseek->gemini-flash,DeepSeek -> Gemini,5,100,0.095,25.205,11.280
deepseek->gemini-flash,DeepSeek -> Gemini,10,1,0.010,2.400,0.000
deepseek->gemini-flash,DeepSeek -> Gemini,10,2,0.025,3.830,0.110
deepseek->gemini-flash,DeepSeek -> Gemini,10,3,0.050,5.865,0.270
deepseek->gemini-flash,DeepSeek -> Gemini,10,5,0.075,8.470,0.815
deepseek->gemini-flash,DeepSeek -> Gemini,10,8,0.125,11.175,1.660
deepseek->gemini-flash,DeepSeek -> Gemini,10,10,0.150,13.015,2.475
deepseek->gemini-flash,DeepSeek -> Gemini,10,15,0.150,15.745,4.090
deepseek->gemini-flash,DeepSeek -> Gemini,10,20,0.185,17.380,5.430
deepseek->gemini-flash,DeepSeek -> Gemini,10,30,0.170,20.380,8.385
deepseek->gemini-flash,DeepSeek -> Gemini,10,40,0.180,22.500,10.510
deepseek->gemini-flash,DeepSeek -> Gemini,10,50,0.205,24.255,12.425
deepseek->gemini-flash,DeepSeek -> Gemini,10,75,0.115,26.910,16.415
deepseek->gemini-flash,DeepSeek -> Gemini,10,100,0.065,28.495,19.235
deepseek->gemini-flash,DeepSeek -> Gemini,10,125,0.005,30.465,21.580
gemini-flash->deepseek,Gemini -> DeepSeek,2,1,0.000,1.025,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,2,0.000,1.750,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,3,0.000,2.270,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,5,0.000,2.780,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,8,0.000,3.160,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,10,0.000,3.395,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,15,0.000,3.545,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,20,0.000,3.715,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,30,0.000,3.905,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,40,0.000,3.960,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,2,50,0.000,3.990,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,3,1,0.000,1.180,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,3,2,0.000,1.785,0.090
gemini-flash->deepseek,Gemini -> DeepSeek,3,3,0.000,2.530,0.125
gemini-flash->deepseek,Gemini -> DeepSeek,3,5,0.000,3.125,0.290
gemini-flash->deepseek,Gemini -> DeepSeek,3,8,0.000,3.870,0.665
gemini-flash->deepseek,Gemini -> DeepSeek,3,10,0.000,4.180,0.865
gemini-flash->deepseek,Gemini -> DeepSeek,3,15,0.000,5.005,1.325
gemini-flash->deepseek,Gemini -> DeepSeek,3,20,0.000,5.450,1.765
gemini-flash->deepseek,Gemini -> DeepSeek,3,30,0.000,6.510,2.410
gemini-flash->deepseek,Gemini -> DeepSeek,3,40,0.000,7.165,3.190
gemini-flash->deepseek,Gemini -> DeepSeek,3,50,0.000,7.695,3.785
gemini-flash->deepseek,Gemini -> DeepSeek,3,75,0.000,9.310,4.735
gemini-flash->deepseek,Gemini -> DeepSeek,4,1,0.010,2.015,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,4,2,0.005,3.810,0.075
gemini-flash->deepseek,Gemini -> DeepSeek,4,3,0.025,5.180,0.320
gemini-flash->deepseek,Gemini -> DeepSeek,4,5,0.075,6.850,0.810
gemini-flash->deepseek,Gemini -> DeepSeek,4,8,0.120,8.940,1.395
gemini-flash->deepseek,Gemini -> DeepSeek,4,10,0.175,10.135,2.130
gemini-flash->deepseek,Gemini -> DeepSeek,4,15,0.180,12.195,3.130
gemini-flash->deepseek,Gemini -> DeepSeek,4,20,0.160,13.585,4.240
gemini-flash->deepseek,Gemini -> DeepSeek,4,30,0.135,15.525,6.255
gemini-flash->deepseek,Gemini -> DeepSeek,4,40,0.095,16.885,7.975
gemini-flash->deepseek,Gemini -> DeepSeek,4,50,0.095,17.825,9.475
gemini-flash->deepseek,Gemini -> DeepSeek,4,75,0.025,19.080,12.655
gemini-flash->deepseek,Gemini -> DeepSeek,4,100,0.005,19.805,15.205
gemini-flash->deepseek,Gemini -> DeepSeek,4,125,0.000,20.915,16.900
gemini-flash->deepseek,Gemini -> DeepSeek,5,1,0.000,1.480,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,5,2,0.000,2.525,0.080
gemini-flash->deepseek,Gemini -> DeepSeek,5,3,0.000,3.135,0.195
gemini-flash->deepseek,Gemini -> DeepSeek,5,5,0.015,4.405,0.470
gemini-flash->deepseek,Gemini -> DeepSeek,5,8,0.065,5.410,0.895
gemini-flash->deepseek,Gemini -> DeepSeek,5,10,0.120,6.290,1.215
gemini-flash->deepseek,Gemini -> DeepSeek,5,15,0.260,7.930,1.840
gemini-flash->deepseek,Gemini -> DeepSeek,5,20,0.370,8.910,2.625
gemini-flash->deepseek,Gemini -> DeepSeek,5,30,0.640,11.085,3.330
gemini-flash->deepseek,Gemini -> DeepSeek,5,40,0.795,12.685,4.300
gemini-flash->deepseek,Gemini -> DeepSeek,5,50,0.880,13.590,5.120
gemini-flash->deepseek,Gemini -> DeepSeek,5,75,0.990,16.705,6.185
gemini-flash->deepseek,Gemini -> DeepSeek,5,100,1.000,18.435,6.845
gemini-flash->deepseek,Gemini -> DeepSeek,10,1,0.000,1.650,0.000
gemini-flash->deepseek,Gemini -> DeepSeek,10,2,0.000,2.740,0.060
gemini-flash->deepseek,Gemini -> DeepSeek,10,3,0.000,3.430,0.245
gemini-flash->deepseek,Gemini -> DeepSeek,10,5,0.000,5.140,0.595
gemini-flash->deepseek,Gemini -> DeepSeek,10,8,0.015,7.000,1.005
gemini-flash->deepseek,Gemini -> DeepSeek,10,10,0.015,7.730,1.295
gemini-flash->deepseek,Gemini -> DeepSeek,10,15,0.050,9.855,2.030
gemini-flash->deepseek,Gemini -> DeepSeek,10,20,0.035,11.095,2.735
gemini-flash->deepseek,Gemini -> DeepSeek,10,30,0.075,13.585,3.790
gemini-flash->deepseek,Gemini -> DeepSeek,10,40,0.045,15.340,4.935
gemini-flash->deepseek,Gemini -> DeepSeek,10,50,0.065,17.205,5.820
gemini-flash->deepseek,Gemini -> DeepSeek,10,75,0.035,19.880,7.655
gemini-flash->deepseek,Gemini -> DeepSeek,10,100,0.010,22.395,9.265
