model,topk,pool_size,available_trajectories,success_mean,success_std,dedup_mean,dedup_std
deepseek,10,1,176,0.065,0.247,3.465,3.191
deepseek,10,2,176,0.230,0.422,6.070,4.295
deepseek,10,3,176,0.385,0.488,8.470,4.777
deepseek,10,5,176,0.710,0.455,11.885,5.159
deepseek,10,8,176,0.865,0.343,15.635,6.183
deepseek,10,10,176,0.950,0.218,17.780,5.810
deepseek,10,15,176,0.995,0.071,21.445,6.153
deepseek,10,20,176,1.000,0.000,24.200,5.828
deepseek,10,30,176,1.000,0.000,28.595,4.963
deepseek,10,40,176,1.000,0.000,31.315,4.847
deepseek,10,50,176,1.000,0.000,32.625,4.705
deepseek,10,75,176,1.000,0.000,36.030,3.837
deepseek,10,100,176,1.000,0.000,38.210,2.787
deepseek,10,150,176,1.000,0.000,40.990,1.414
gemini-flash,2,1,121,0.000,0.000,1.045,0.271
gemini-flash,2,2,121,0.000,0.000,1.875,0.783
gemini-flash,2,3,121,0.000,0.000,2.525,0.992
gemini-flash,2,5,121,0.000,0.000,3.170,0.875
gemini-flash,2,8,121,0.000,0.000,3.795,1.090
gemini-flash,2,10,121,0.000,0.000,4.030,1.143
gemini-flash,2,15,121,0.005,0.071,4.275,1.194
gemini-flash,2,20,121,0.005,0.071,4.535,1.244
gemini-flash,2,30,121,0.045,0.208,5.395,1.299
gemini-flash,2,40,121,0.110,0.314,5.875,1.284
gemini-flash,2,50,121,0.140,0.348,6.230,1.189
gemini-flash,2,75,121,0.380,0.487,7.045,0.904
gemini-flash,2,100,121,0.660,0.475,7.610,0.583
gemini-flash,3,1,141,0.000,0.000,1.315,0.933
gemini-flash,3,2,141,0.000,0.000,2.115,1.076
gemini-flash,3,3,141,0.015,0.122,2.905,1.472
gemini-flash,3,5,141,0.010,0.100,3.890,1.750
gemini-flash,3,8,141,0.060,0.238,4.935,1.970
gemini-flash,3,10,141,0.110,0.314,5.590,2.332
gemini-flash,3,15,141,0.200,0.401,6.320,2.359
gemini-flash,3,20,141,0.320,0.468,7.270,2.232
gemini-flash,3,30,141,0.575,0.496,8.685,2.467
gemini-flash,3,40,141,0.775,0.419,9.850,2.478
gemini-flash,3,50,141,0.885,0.320,10.575,2.493
gemini-flash,3,75,141,0.990,0.100,12.420,1.871
gemini-flash,3,100,141,1.000,0.000,13.665,1.401
gemini-flash,4,1,209,0.040,0.196,2.990,2.480
gemini-flash,4,2,209,0.140,0.348,4.995,3.061
gemini-flash,4,3,209,0.280,0.450,7.350,3.824
gemini-flash,4,5,209,0.545,0.499,9.680,3.799
gemini-flash,4,8,209,0.815,0.389,12.485,3.946
gemini-flash,4,10,209,0.935,0.247,13.440,3.902
gemini-flash,4,15,209,0.995,0.071,16.300,3.885
gemini-flash,4,20,209,0.990,0.100,17.950,4.077
gemini-flash,4,30,209,1.000,0.000,20.715,3.798
gemini-flash,4,40,209,1.000,0.000,21.985,3.437
gemini-flash,4,50,209,1.000,0.000,23.325,3.113
gemini-flash,4,75,209,1.000,0.000,25.155,2.738
gemini-flash,4,100,209,1.000,0.000,26.700,1.827
gemini-flash,4,125,209,1.000,0.000,27.440,1.462
gemini-flash,4,150,209,1.000,0.000,27.900,1.252
gemini-flash,4,175,209,1.000,0.000,28.485,0.814
gemini-flash,4,200,209,1.000,0.000,28.900,0.401
gemini-flash,5,1,163,0.005,0.071,1.630,1.192
gemini-flash,5,2,163,0.040,0.196,2.925,1.902
gemini-flash,5,3,163,0.080,0.272,4.100,2.317
gemini-flash,5,5,163,0.185,0.389,5.710,2.761
gemini-flash,5,8,163,0.345,0.477,7.140,3.114
gemini-flash,5,10,163,0.460,0.500,8.160,3.422
gemini-flash,5,15,163,0.685,0.466,9.955,3.602
gemini-flash,5,20,163,0.800,0.401,11.035,3.495
gemini-flash,5,30,163,0.900,0.301,12.670,3.782
gemini-flash,5,40,163,0.975,0.157,14.860,3.445
gemini-flash,5,50,163,0.995,0.071,15.570,3.122
gemini-flash,5,75,163,1.000,0.000,18.110,2.985
gemini-flash,5,100,163,1.000,0.000,20.130,2.278
gemini-flash,5,150,163,1.000,0.000,22.625,0.829
gemini-flash,10,1,182,0.020,0.140,2.085,2.088
gemini-flash,10,2,182,0.040,0.196,3.615,2.500
gemini-flash,10,3,182,0.130,0.337,5.130,3.602
gemini-flash,10,5,182,0.240,0.428,7.135,3.871
gemini-flash,10,8,182,0.485,0.501,9.780,4.884
gemini-flash,10,10,182,0.630,0.484,10.795,5.123
gemini-flash,10,15,182,0.765,0.425,13.350,5.595
gemini-flash,10,20,182,0.950,0.218,15.400,5.917
gemini-flash,10,30,182,0.995,0.071,18.955,6.148
gemini-flash,10,40,182,1.000,0.000,21.210,6.089
gemini-flash,10,50,182,1.000,0.000,23.170,5.881
gemini-flash,10,75,182,1.000,0.000,27.635,5.122
gemini-flash,10,100,182,1.000,0.000,29.945,4.619
gemini-flash,10,150,182,1.000,0.000,34.605,2.115
